#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.96763     1.96763           0
           2      1.9961     1.98186   0.0100644
           3     1.99197     1.98523  0.00725147
           4     1.92999     1.97142   0.0131383
           5     1.95834     1.96881   0.0107679
           6     1.95231     1.96606  0.00931753
           7     1.98733      1.9691   0.0084676
           8     1.95728     1.96762  0.00753684
           9     1.94981     1.96564  0.00695433
          10     2.00332     1.96941  0.00720774
          11     1.97073     1.96953  0.00655349
          12     2.00702     1.97265  0.00671077
          13     1.96237     1.97186  0.00624105
          14     1.96706     1.97152  0.00580467
          15     1.94275      1.9696  0.00572576
          16     1.96717     1.96945  0.00536992
          17     1.96058     1.96893   0.0050793
          18     1.97004     1.96899  0.00479749
          19     2.01731     1.97153  0.00517534
          20     1.99905     1.97291  0.00509616
