#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.370734   -0.370734           0
           2   -0.399129   -0.384932   0.0100392
           3   -0.394945    -0.38827  0.00722635
           4    -0.33297   -0.374445   0.0131422
           5   -0.361424   -0.371841   0.0107687
           6   -0.355317   -0.369087   0.0093194
           7    -0.39054   -0.372151  0.00847702
           8   -0.360452   -0.370689  0.00754249
           9   -0.352799   -0.368701  0.00696144
          10   -0.406336   -0.372465  0.00721121
          11   -0.373747   -0.372581  0.00655659
          12   -0.410244    -0.37572  0.00671953
          13   -0.365495   -0.374933   0.0062485
          14   -0.370145   -0.374591  0.00581153
          15   -0.345688   -0.372664  0.00573465
          16   -0.370198    -0.37251  0.00537831
          17   -0.363637   -0.371988   0.0050872
          18   -0.373218   -0.372057  0.00480504
          19   -0.420401   -0.374601  0.00518222
          20     -0.4021   -0.375976  0.00510225
