#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.239291    0.239291           0
           2    0.433495    0.336393   0.0686617
           3    0.578055    0.416947   0.0801327
           4    0.572522    0.455841   0.0688948
           5     0.69223    0.503118   0.0694688
           6    0.745595    0.543531   0.0686463
           7    0.758729    0.574274   0.0653621
           8    0.771652    0.598946   0.0616728
           9     0.86149    0.628118   0.0613326
          10    0.945522    0.659858   0.0628783
          11    0.927338    0.684174    0.061685
          12    0.966141    0.707672   0.0608555
          13     1.03205    0.732624   0.0610761
          14     1.08056    0.757477   0.0615627
          15     1.04226    0.776462    0.060315
          16     1.10158    0.796782   0.0598703
          17     1.07044    0.812879   0.0584725
          18      1.0117    0.823925   0.0562577
          19     1.04573    0.835599   0.0544944
          20      1.0828    0.847959    0.053153
