# VELOCITY:     AVE_POFV:        ERROR:
   0.0763035     1.18514           0
     0.22891    0.967081           0
    0.381517    0.872096           0
    0.534124    0.863268           0
    0.686731    0.739979           0
    0.839338    0.691834           0
    0.991945    0.432939           0
     1.14455    0.355943           0
     1.29716    0.195431           0
     1.44977    0.131844           0
     1.60237   0.0482964           0
     1.75498   0.0278493           0
     1.90759   0.0195977           0
     2.06019  0.00961681           0
      2.2128  0.00546065           0
     2.36541  0.00515728           0
     2.51802  0.00124381           0
     2.67062           0           0
     2.82323           0           0
     2.97584           0           0
     3.12844           0           0
     3.28105           0           0
     3.43366           0           0
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.747563    0.309416
     0.22891    0.804248    0.115141
    0.381517    0.811832   0.0426133
    0.534124     0.83055   0.0231354
    0.686731    0.787304   0.0334643
    0.839338    0.737082   0.0319949
    0.991945    0.550236   0.0829421
     1.14455     0.44254   0.0612332
     1.29716    0.307783   0.0794455
     1.44977    0.215544   0.0591846
     1.60237    0.132982   0.0598818
     1.75498   0.0720351   0.0312441
     1.90759   0.0598093   0.0284339
     2.06019   0.0279858   0.0129889
      2.2128    0.012241   0.0047944
     2.36541  0.00767525  0.00178047
     2.51802  0.00373144  0.00175902
     2.67062  0.00116797 0.000825881
     2.82323 0.000470223 0.000332498
     2.97584           0           0
     3.12844           0           0
     3.28105           0           0
     3.43366           0           0
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.519439    0.277928
     0.22891    0.654944     0.14406
    0.381517    0.725235   0.0761998
    0.534124     0.79683   0.0315577
    0.686731    0.809764    0.028879
    0.839338    0.785686   0.0450546
    0.991945    0.599964   0.0686006
     1.14455    0.514292    0.071405
     1.29716    0.387656    0.084013
     1.44977    0.273093   0.0613575
     1.60237    0.169887   0.0500168
     1.75498    0.120448    0.044681
     1.90759   0.0898277   0.0309849
     2.06019   0.0429773   0.0149938
      2.2128   0.0286684   0.0137885
     2.36541   0.0129943  0.00450229
     2.51802  0.00917187  0.00459427
     2.67062  0.00631008  0.00423446
     2.82323  0.00379212  0.00272136
     2.97584  0.00109213  0.00089172
     3.12844 0.000707862 0.000577967
     3.28105           0           0
     3.43366           0           0
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.406652    0.230197
     0.22891     0.55914    0.136226
    0.381517    0.706396   0.0594331
    0.534124    0.757354   0.0415807
    0.686731    0.797786   0.0240152
    0.839338    0.797733   0.0353647
    0.991945    0.633936   0.0592684
     1.14455    0.564927   0.0692165
     1.29716    0.455122   0.0859306
     1.44977     0.32484    0.064234
     1.60237    0.195901   0.0437577
     1.75498    0.131458   0.0348408
     1.90759    0.102455   0.0256833
     2.06019   0.0538026   0.0146406
      2.2128   0.0308603   0.0105142
     2.36541   0.0155704  0.00404716
     2.51802  0.00835024  0.00351841
     2.67062  0.00565026  0.00322685
     2.82323  0.00349633  0.00205703
     2.97584 0.000819098 0.000709359
     3.12844 0.000530897  0.00045977
     3.28105           0           0
     3.43366           0           0
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.330242     0.19643
     0.22891    0.480179    0.129864
    0.381517     0.65475   0.0662909
    0.534124    0.715545   0.0500491
    0.686731    0.781807   0.0239449
    0.839338    0.794955   0.0284006
    0.991945     0.65307   0.0504086
     1.14455    0.605865   0.0663848
     1.29716    0.502441   0.0807279
     1.44977    0.378101   0.0700716
     1.60237     0.23479   0.0493489
     1.75498    0.150241   0.0325442
     1.90759    0.115626   0.0236842
     2.06019   0.0701269   0.0187181
      2.2128   0.0370414   0.0100656
     2.36541   0.0234565  0.00776113
     2.51802   0.0101386  0.00323748
     2.67062  0.00642537  0.00267295
     2.82323  0.00569728  0.00256582
     2.97584  0.00162606 0.000918147
     3.12844 0.000655278 0.000384272
     3.28105           0           0
     3.43366           0           0
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.278215    0.170442
     0.22891    0.419803    0.121447
    0.381517    0.618702   0.0643011
    0.534124    0.692006   0.0469178
    0.686731    0.760522   0.0278518
    0.839338    0.796229   0.0236957
    0.991945    0.659176   0.0423754
     1.14455    0.619678   0.0567394
     1.29716    0.532868   0.0727822
     1.44977    0.413012   0.0665235
     1.60237    0.263638   0.0488335
     1.75498     0.17058   0.0328669
     1.90759    0.138711   0.0288724
     2.06019   0.0833406   0.0197184
      2.2128   0.0469211   0.0123166
     2.36541   0.0272679  0.00734406
     2.51802   0.0136365  0.00418025
     2.67062   0.0072657  0.00235585
     2.82323  0.00680053   0.0023635
     2.97584   0.0027101  0.00125088
