#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.555215   -0.555215           0
           2   -0.749213   -0.652214   0.0685887
           3   -0.893786   -0.732738   0.0800848
           4    -0.88822   -0.771609   0.0688537
           5     -1.0081   -0.818907    0.069454
           6    -1.06166   -0.859367   0.0686589
           7    -1.07501   -0.890172   0.0653972
           8    -1.08842   -0.914953   0.0617395
           9    -1.17867   -0.944255   0.0614406
          10     -1.2626    -0.97609   0.0630064
          11    -1.24431    -1.00047   0.0618171
          12    -1.28313    -1.02403   0.0609884
          13    -1.34946    -1.04906   0.0612193
          14    -1.39821      -1.074   0.0617177
          15    -1.35965    -1.09304   0.0604698
          16     -1.4191    -1.11342    0.060026
          17    -1.38773    -1.12956   0.0586238
          18     -1.3291    -1.14064   0.0564053
          19    -1.36307    -1.15235    0.054638
          20    -1.40054    -1.16476   0.0532967
