#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1  -0.0040471  -0.0040471           0
           2  0.00124491 -0.00140109  0.00187101
           3  0.00304574 8.11847e-05  0.00173799
           4-2.14679e-05 5.55215e-05  0.00130368
           5  0.00381271 0.000806959  0.00124075
           6  0.00218521  0.00103667  0.00105501
           7  0.00675163  0.00185309  0.00117859
           8  0.00210668  0.00188479  0.00103169
           9  0.00619135   0.0023633  0.00102202
          10  0.00651457  0.00277842  0.00100058
          11  0.00630272  0.00309881 0.000959545
          12  0.00832474  0.00353431 0.000973404
          13   0.0106101   0.0040786  0.00103962
          14   0.0102208  0.00451733  0.00105388
          15  0.00955682  0.00485329  0.00103579
          16   0.0128622  0.00535385  0.00108528
          17   0.0124418  0.00577079  0.00109861
          18   0.0107733   0.0060487  0.00107216
          19   0.0125391   0.0063903  0.00106876
          20   0.0147739  0.00680948  0.00109444
