#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.159527    0.159527           0
           2    0.288997    0.224262   0.0457745
           3     0.38537    0.277965   0.0534218
           4    0.381681    0.303894   0.0459299
           5    0.461487    0.335412   0.0463125
           6    0.497063    0.362354   0.0457642
           7     0.50582    0.382849   0.0435747
           8    0.514435    0.399297   0.0411152
           9    0.574327    0.418745   0.0408884
          10    0.630348    0.439905   0.0419189
          11    0.618225    0.456116   0.0411233
          12    0.644094    0.471781   0.0405703
          13    0.688036    0.488416   0.0407174
          14    0.720377    0.504985   0.0410418
          15    0.694839    0.517642     0.04021
          16    0.734384    0.531188   0.0399135
          17    0.713624     0.54192   0.0389817
          18    0.674467    0.549283   0.0375051
          19    0.697151    0.557066   0.0363296
          20    0.721868    0.565306   0.0354353
