#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.315924   -0.315924           0
           2   -0.315718   -0.315821 7.30065e-05
           3   -0.315731   -0.315791 5.45041e-05
           4   -0.315699   -0.315768  4.5505e-05
           5   -0.315872   -0.315789 4.08856e-05
           6   -0.316069   -0.315835 5.45477e-05
           7   -0.316277   -0.315898 7.47996e-05
           8   -0.316769   -0.316007 0.000121011
           9   -0.317177   -0.316137 0.000163051
          10   -0.317079   -0.316231 0.000171793
          11   -0.316975   -0.316299 0.000168945
          12   -0.316988   -0.316356 0.000164329
          13   -0.317405   -0.316437 0.000170336
          14   -0.317649   -0.316524 0.000178835
          15   -0.317391   -0.316581 0.000176014
          16   -0.317522    -0.31664 0.000174556
          17   -0.317298   -0.316679 0.000168526
          18   -0.317398   -0.316719 0.000163836
          19   -0.317348   -0.316752 0.000158526
          20   -0.317735   -0.316801 0.000158031
