#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.34275    -1.34275           0
           2   -0.760086    -1.05142    0.206004
           3   -0.546116   -0.882985    0.194357
           4   -0.490468   -0.784856    0.168731
           5   -0.485866   -0.725058    0.145195
           6   -0.427266   -0.675426    0.129201
           7   -0.386574   -0.634161    0.117148
           8    -0.38416   -0.602911    0.106591
           9   -0.362907   -0.576244   0.0980267
          10   -0.347119   -0.553332   0.0908623
          11   -0.336346   -0.533606   0.0847163
          12   -0.346955   -0.518051   0.0790716
          13   -0.353208   -0.505371   0.0739989
          14   -0.390363   -0.497156   0.0691677
          15   -0.355244   -0.487695   0.0652004
          16   -0.361358   -0.479799   0.0616016
          17   -0.333038   -0.471166   0.0585798
          18   -0.394937   -0.466931   0.0554782
          19   -0.399148   -0.463364   0.0526729
          20   -0.370653   -0.458728   0.0502428
