# VELOCITY:     AVE_POFV:        ERROR:
   0.0763035           0           0
     0.22891  0.00573368           0
    0.381517   0.0569121           0
    0.534124    0.123744           0
    0.686731    0.167672           0
    0.839338    0.201407           0
    0.991945    0.337347           0
     1.14455    0.356945           0
     1.29716    0.527559           0
     1.44977     0.52398           0
     1.60237    0.472134           0
     1.75498    0.465429           0
     1.90759    0.513058           0
     2.06019    0.531261           0
      2.2128    0.561325           0
     2.36541    0.444497           0
     2.51802     0.43573           0
     2.67062    0.250826           0
     2.82323     0.10715           0
     2.97584    0.117283           0
     3.12844    0.120104           0
     3.28105   0.0881592           0
     3.43366    0.030792           0
     3.58626   0.0444133           0
     3.73887  0.00970782           0
     3.89148 0.000515728           0
     4.04408  0.00855502           0
     4.19669   0.0364043           0
      4.3493   0.0129539           0
     4.50191  0.00118314           0
   0.0763035           0           0
     0.22891   0.0200224   0.0101036
    0.381517   0.0781935   0.0150482
    0.534124    0.130631  0.00486948
    0.686731     0.15079   0.0119377
    0.839338    0.194354  0.00498746
    0.991945    0.323528  0.00977114
     1.14455     0.33137   0.0180836
     1.29716    0.462805   0.0457881
     1.44977    0.413948   0.0778044
     1.60237    0.487424   0.0108115
     1.75498    0.448532   0.0119485
     1.90759      0.5744   0.0433749
     2.06019    0.597744   0.0470109
      2.2128    0.603311   0.0296888
     2.36541    0.446393  0.00134072
     2.51802     0.42989  0.00412941
     2.67062    0.321617    0.050057
     2.82323     0.13368   0.0187593
     2.97584      0.1053  0.00847333
     3.12844    0.101128   0.0134179
     3.28105   0.0591874   0.0204861
     3.43366   0.0403026  0.00672503
     3.58626   0.0554863  0.00782978
     3.73887   0.0115584  0.00130854
     3.89148   0.0016382 0.000793704
     4.04408  0.00427751  0.00302466
     4.19669   0.0182022   0.0128709
      4.3493  0.00647694  0.00457989
     4.50191  0.00059157 0.000418303
   0.0763035  0.00274044  0.00223756
     0.22891   0.0282841  0.00953283
    0.381517   0.0910412    0.014515
    0.534124    0.130681  0.00324658
    0.686731    0.168117   0.0162326
    0.839338    0.235041   0.0333867
    0.991945    0.332513  0.00981076
     1.14455    0.347975   0.0181424
     1.29716     0.42404   0.0439733
     1.44977    0.413159   0.0518736
     1.60237    0.501318   0.0134407
     1.75498    0.418124   0.0260743
     1.90759    0.545923   0.0371048
     2.06019    0.563064   0.0422379
      2.2128    0.594958   0.0209346
     2.36541    0.420521   0.0211436
     2.51802    0.415788   0.0118385
     2.67062    0.303056   0.0366514
     2.82323    0.161332   0.0258102
     2.97584    0.108859   0.0063527
     3.12844   0.0965928  0.00968146
     3.28105   0.0725255    0.017468
     3.43366    0.074457    0.028245
     3.58626   0.0640312  0.00871343
     3.73887   0.0178179  0.00518479
     3.89148  0.00112247 0.000676241
     4.04408  0.00285167  0.00232838
     4.19669   0.0121348  0.00990801
      4.3493  0.00431796   0.0035256
     4.50191  0.00039438  0.00032201
   0.0763035   0.0020705  0.00177563
     0.22891   0.0263552  0.00734219
    0.381517   0.0795738   0.0147355
    0.534124    0.123176  0.00694136
    0.686731    0.187422   0.0206812
    0.839338    0.261808   0.0341229
    0.991945    0.319759   0.0132719
     1.14455    0.330529   0.0203328
     1.29716    0.455502   0.0427793
     1.44977    0.459097   0.0556446
     1.60237    0.507803   0.0115392
     1.75498    0.496275   0.0704489
     1.90759    0.514393   0.0389878
     2.06019    0.511496   0.0547535
      2.2128    0.563114   0.0317338
     2.36541    0.370232   0.0463484
     2.51802    0.393842   0.0209777
     2.67062    0.300154   0.0276032
     2.82323    0.156736   0.0197626
     2.97584     0.12586   0.0154753
     3.12844    0.109031   0.0129905
     3.28105   0.0722323   0.0131034
     3.43366   0.0731955   0.0212119
     3.58626   0.0645646  0.00655138
     3.73887    0.026651  0.00858132
     3.89148  0.00409549  0.00262419
     4.04408  0.00440644  0.00220511
     4.19669  0.00987468  0.00768446
      4.3493  0.00323847   0.0028046
     4.50191 0.000295785 0.000256158
   0.0763035  0.00249976  0.00147148
     0.22891   0.0304886  0.00694039
    0.381517   0.0663166   0.0167204
    0.534124    0.112283    0.011214
    0.686731    0.172684   0.0211541
    0.839338    0.267827    0.027824
    0.991945    0.326104    0.012039
     1.14455    0.339203    0.018022
     1.29716    0.459125   0.0343766
     1.44977    0.492357   0.0535409
     1.60237    0.504054  0.00982126
     1.75498    0.524186   0.0616409
     1.90759    0.543414    0.040578
     2.06019    0.507276   0.0439651
      2.2128     0.52512   0.0424186
     2.36541    0.359584   0.0382823
     2.51802    0.364899   0.0308512
     2.67062     0.28399   0.0263941
     2.82323    0.159754    0.016039
     2.97584     0.12298   0.0126455
     3.12844    0.117604   0.0129152
     3.28105   0.0694959   0.0107647
     3.43366    0.071935   0.0170069
     3.58626   0.0669051  0.00564371
     3.73887   0.0353668   0.0103875
     3.89148  0.00827592  0.00428813
     4.04408  0.00654065   0.0025992
     4.19669  0.00876131   0.0062277
      4.3493  0.00334313  0.00224563
     4.50191 0.000406515 0.000227604
   0.0763035   0.0021792  0.00126067
     0.22891   0.0269695  0.00661594
    0.381517   0.0666098   0.0139362
    0.534124    0.116519   0.0101135
    0.686731    0.170691   0.0177221
    0.839338     0.26022   0.0242041
    0.991945    0.333888   0.0122943
     1.14455    0.361854   0.0255557
     1.29716    0.455656   0.0288217
     1.44977    0.484587   0.0451776
     1.60237    0.512836   0.0114563
     1.75498     0.52672   0.0514195
     1.90759    0.556425   0.0358404
     2.06019    0.488966   0.0402704
      2.2128    0.503442   0.0405115
     2.36541    0.359169   0.0319042
     2.51802    0.375637   0.0275148
     2.67062    0.278797   0.0225002
     2.82323    0.156073   0.0137817
     2.97584    0.109461   0.0162282
     3.12844     0.11754   0.0107628
     3.28105   0.0827289   0.0150465
     3.43366   0.0712918   0.0141846
     3.58626   0.0733345  0.00752109
     3.73887   0.0336538  0.00879641
     3.89148  0.00949546  0.00374285
     4.04408  0.00760952  0.00237563
     4.19669  0.00730109   0.0053582
      4.3493  0.00278594  0.00193925
     4.50191 0.000338763 0.000199499
   0.0763035  0.00207591  0.00108479
     0.22891   0.0240225  0.00629303
    0.381517   0.0657705   0.0119706
    0.534124    0.116836  0.00867366
    0.686731    0.164773   0.0161482
    0.839338    0.260209   0.0207464
    0.991945    0.348823   0.0173846
     1.14455    0.368707   0.0228051
     1.29716    0.458521   0.0248463
     1.44977    0.475185     0.03969
     1.60237    0.504287   0.0126125
     1.75498     0.53533   0.0447889
     1.90759    0.545939   0.0322178
     2.06019    0.490557   0.0345489
      2.2128    0.511342   0.0354862
     2.36541    0.369023    0.028828
