#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0569307   0.0569307           0
           2    0.055017   0.0559738 0.000676608
           3   0.0570613   0.0563363 0.000539505
           4   0.0559263   0.0562338 0.000414254
           5   0.0590076   0.0567886  0.00059669
           6   0.0563305   0.0567122 0.000502102
           7   0.0556808   0.0565649 0.000451475
           8    0.057306   0.0566575 0.000404433
           9   0.0563113   0.0566191 0.000361321
          10   0.0564247   0.0565996 0.000325712
          11   0.0562191    0.056565 0.000297933
          12   0.0557899   0.0565004 0.000280019
          13   0.0548464   0.0563732 0.000285928
          14   0.0541093   0.0562115 0.000307856
          15      0.0567   0.0562441  0.00028905
          16   0.0547843   0.0561528 0.000285019
          17   0.0547381   0.0560696  0.00028014
          18   0.0538643   0.0559471 0.000290132
          19   0.0566775   0.0559855 0.000277397
          20   0.0577441   0.0560735 0.000277113
