#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.31175     1.31175           0
           2     1.33073     1.32124  0.00670962
           3     1.32798     1.32349  0.00483431
           4     1.28666     1.31428  0.00875887
           5     1.30556     1.31254  0.00717863
           6     1.30154      1.3107  0.00621169
           7     1.32489     1.31273  0.00564507
           8     1.30485     1.31175  0.00502456
           9     1.29987     1.31043  0.00463622
          10     1.33555     1.31294  0.00480516
          11     1.31382     1.31302    0.004369
          12     1.33801      1.3151  0.00447385
          13     1.30824     1.31457   0.0041607
          14     1.31137     1.31435  0.00386978
          15     1.29517     1.31307  0.00381718
          16     1.31145     1.31297  0.00357994
          17     1.30706     1.31262   0.0033862
          18     1.31336     1.31266  0.00319833
          19     1.34487     1.31435  0.00345023
          20      1.3327     1.31527  0.00339744
