#   N_BLOCK:  ACCEPTANCE:
           1      0.5375
           2     0.53921
           3     0.53786
           4    0.538245
           5    0.539034
           6      0.5385
           7    0.538459
           8    0.537305
           9    0.537338
          10    0.537108
          11    0.536464
          12    0.537016
          13    0.536887
          14    0.536867
          15    0.536864
          16    0.537446
          17    0.537579
          18    0.537628
          19    0.537639
          20    0.537906
