#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.250033    0.250033           0
           2    0.253635    0.251834  0.00127321
           3    0.334758    0.279475    0.022585
           4    0.265679    0.276026   0.0172001
           5    0.323117    0.285444   0.0161338
           6    0.269238    0.282743   0.0136691
           7    0.298033    0.284928   0.0118896
           8    0.311084    0.288197   0.0108436
           9    0.229951    0.281725   0.0114077
          10    0.290131    0.282566   0.0102979
          11    0.260035    0.280518  0.00956323
          12    0.248105    0.277817  0.00913978
          13    0.284545    0.278334  0.00845136
          14    0.215798    0.273867  0.00895063
          15    0.301713    0.275724  0.00854426
          16    0.203018     0.27118  0.00913906
          17    0.211227    0.267653  0.00925692
          18    0.300351     0.26947   0.0089191
          19    0.178468     0.26468  0.00965036
          20    0.273432    0.265118  0.00917776
