#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     91.4153     91.4153           0
           2     89.6666      90.541    0.618243
           3     87.1275     89.4031     1.01636
           4     90.1066      89.579    0.777339
           5     87.5374     89.1707    0.721182
           6     90.5975     89.4085    0.638993
           7     88.0245     89.2108    0.577486
           8     86.9168      88.924    0.572081
           9     92.4616     89.3171    0.629223
          10     88.6767     89.2531    0.569551
          11     90.2405     89.3428      0.5248
          12     90.3671     89.4282    0.487959
          13     88.7777     89.3781    0.452982
          14     91.7466     89.5473    0.451111
          15     90.1633     89.5884    0.422902
          16     93.1028      89.808    0.449912
          17     91.8863     89.9303    0.439742
          18     90.2601     89.9486    0.415694
          19     93.5483     90.1381    0.434851
          20     89.3418     90.0982    0.414927
