#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46116    -0.46116           0
           2    -0.45916    -0.46016 0.000707107
           3    -0.46848   -0.462933  0.00231297
           4    -0.45888    -0.46192  0.00194407
           5    -0.45768   -0.461072  0.00173035
           6    -0.46428   -0.461607  0.00152232
           7    -0.46196   -0.461657  0.00130568
           8    -0.47048    -0.46276  0.00153932
           9    -0.46108   -0.462573  0.00137955
          10    -0.46308   -0.462624  0.00124253
          11     -0.4662   -0.462949  0.00117133
          12    -0.45464   -0.462257  0.00126189
          13    -0.46412     -0.4624  0.00117293
          14    -0.46264   -0.462417  0.00108928
          15    -0.46088   -0.462315  0.00102147
          16    -0.45352   -0.461765  0.00109558
          17    -0.46196   -0.461776   0.0010312
          18    -0.46096   -0.461731 0.000974904
          19    -0.46064   -0.461674 0.000925283
          20    -0.45312   -0.461246 0.000972853
