#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.885802    0.885802           0
           2    0.928008    0.906905   0.0149221
           3    0.949096    0.920969   0.0151928
           4     0.94002    0.925731   0.0121182
           5      0.8942    0.919425   0.0112161
           6     0.86608    0.910534   0.0123788
           7    0.950892      0.9163   0.0118773
           8    0.733882    0.893497   0.0237267
           9    0.925906    0.897098   0.0213619
          10    0.927212     0.90011   0.0194368
          11    0.899052    0.900014   0.0176701
          12     0.94964    0.904149   0.0166745
          13     0.94356    0.907181    0.015665
          14    0.939956    0.909522     0.01472
          15    0.865616    0.906595   0.0140266
          16    0.946832     0.90911   0.0133735
          17    0.901174    0.908643    0.012595
          18     0.79194    0.902159    0.013461
          19    0.890516    0.901547   0.0127664
          20    0.903908    0.901665   0.0121287
