#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.29274     2.29274           0
           2     2.31578     2.30426  0.00814587
           3     2.31523     2.30791  0.00619792
           4     2.33415     2.31447  0.00734023
           5     2.37855     2.32729   0.0128797
           6     2.35299     2.33157   0.0114232
           7     2.45485     2.34918   0.0190188
           8     2.37923     2.35294   0.0170083
           9     2.38619     2.35663   0.0155144
          10     2.34077     2.35505   0.0140438
          11     2.32812      2.3526   0.0129787
          12     2.32429     2.35024   0.0121096
          13     2.24675     2.34228   0.0135444
          14     2.27043     2.33715   0.0135143
          15      2.3456     2.33771   0.0126251
          16     2.23222     2.33112   0.0134478
          17     2.32865     2.33097   0.0126576
          18     2.37068     2.33318    0.012145
          19      2.2222     2.32734   0.0128337
          20     2.35628     2.32879   0.0122733
