#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.227581    0.227581           0
           2     0.22461    0.226095  0.00105025
           3    0.220509    0.224233  0.00167377
           4    0.216836    0.222384   0.0020349
           5    0.217825    0.221472  0.00182078
           6     0.22195    0.221552  0.00151906
           7    0.220531    0.221406  0.00130903
           8    0.224538    0.221797  0.00120252
           9    0.223063    0.221938  0.00107709
          10    0.224194    0.222164 0.000992736
          11    0.219027    0.221878 0.000942559
          12    0.221746    0.221867 0.000864076
          13     0.22146    0.221836 0.000798177
          14     0.21794    0.221558 0.000788193
          15    0.222359    0.221611 0.000737454
          16     0.22079     0.22156 0.000693148
          17    0.220688    0.221509  0.00065427
          18    0.223233    0.221604 0.000624898
          19    0.222413    0.221647 0.000593458
          20    0.217915     0.22146   0.0005924
