#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.99126     3.99126           0
           2     4.12185     4.05656   0.0461679
           3      4.0383     4.05047   0.0311771
           4     3.88451     4.00898   0.0428693
           5     3.90432     3.98805   0.0390733
           6     3.96408     3.98405   0.0327647
           7     4.06861     3.99613   0.0302291
           8     3.94065      3.9892   0.0272344
           9     4.04694     3.99561   0.0249527
          10     4.06247      4.0023   0.0233359
          11     4.02701     4.00455   0.0213223
          12     3.90731     3.99644   0.0210287
          13     4.02424     3.99858   0.0195195
          14      3.8615     3.98879   0.0204341
          15     3.87543     3.98123   0.0204216
          16     3.91238     3.97693   0.0195934
          17     4.03494     3.98034   0.0187357
          18     3.86092     3.97371   0.0188329
          19     4.09049     3.97985    0.018818
          20     4.03348     3.98253   0.0180671
