#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.312924    0.312924           0
           2    0.317025    0.314975  0.00144989
           3    0.313624    0.314525  0.00103412
           4      0.3129    0.314118 0.000851611
           5    0.312073    0.313709 0.000773304
           6    0.318055    0.314434 0.000923267
           7    0.322329    0.315562  0.00131028
           8    0.316927    0.315732  0.00115756
           9    0.318112    0.315997  0.00105871
          10    0.315124    0.315909  0.00095643
          11    0.320886    0.316362 0.000970594
          12    0.316769    0.316396 0.000890303
          13    0.321841    0.316815 0.000915075
          14     0.31254    0.316509 0.000899209
          15    0.313527     0.31631 0.000860957
          16    0.315632    0.316268 0.000808189
          17    0.320812    0.316535 0.000803638
          18    0.310756    0.316214 0.000820633
          19     0.31375    0.316085 0.000787628
          20    0.319921    0.316276 0.000771246
