#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02631     0.02631           0
           2    0.028574    0.027442 0.000800445
           3    0.034162    0.029682  0.00190521
           4    0.038072   0.0317795  0.00231115
           5    0.029132     0.03125  0.00190861
           6     0.03297   0.0315367  0.00161189
           7    0.030712   0.0314189  0.00138592
           8    0.027322   0.0309068  0.00130387
           9    0.033278   0.0311702  0.00118531
          10    0.024596   0.0305128  0.00123572
          11    0.038036   0.0311967  0.00129893
          12     0.01992    0.030257  0.00149239
          13    0.026582   0.0299743  0.00140411
          14    0.032834   0.0301786  0.00131859
          15    0.037992   0.0306995   0.0013296
          16      0.0311   0.0307245  0.00124673
          17    0.032152   0.0308085  0.00117622
          18    0.022976   0.0303733  0.00118864
          19    0.031538   0.0304346  0.00112766
          20    0.027106   0.0302682  0.00108349
