# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00823409           0
    0.987511   0.0844119           0
     1.01316    0.432196           0
     1.03881     1.08822           0
     1.06446     1.80729           0
     1.09011      2.5035           0
     1.11576     2.84044           0
     1.14141     2.83535           0
     1.16706     2.75574           0
     1.19271     2.48159           0
     1.21836     2.29768           0
     1.24401     2.07259           0
     1.26966     1.68334           0
     1.29531     1.35892           0
     1.32096     1.15707           0
     1.34661     1.07936           0
     1.37226    0.988022           0
     1.39791    0.902046           0
     1.42355    0.805836           0
      1.4492    0.704518           0
     1.47485    0.672329           0
      1.5005    0.669683           0
     1.52615    0.626762           0
      1.5518    0.569165           0
     1.57745    0.542633           0
      1.6031    0.537006           0
     1.62875    0.566194           0
      1.6544    0.580594           0
     1.68005    0.620167           0
      1.7057    0.630177           0
     1.73135    0.708831           0
       1.757    0.727227           0
     1.78265     0.79804           0
      1.8083    0.803851           0
     1.83395    0.824178           0
      1.8596    0.826716           0
     1.88525    0.872527           0
      1.9109    0.918435           0
     1.93655    0.981042           0
      1.9622     1.02856           0
     1.98785     1.09777           0
      2.0135     1.15672           0
     2.03915     1.20708           0
      2.0648     1.29429           0
     2.09045     1.35262           0
      2.1161     1.46437           0
     2.14174     1.34726           0
     2.16739     1.29291           0
     2.19304     1.23543           0
     2.21869     1.21334           0
     2.24434     1.18486           0
     2.26999      1.1343           0
     2.29564     1.11945           0
     2.32129     1.10515           0
     2.34694     1.04608           0
     2.37259     1.01234           0
     2.39824    0.981271           0
     2.42389    0.959138           0
     2.44954    0.995248           0
     2.47519     0.91324           0
     2.50084    0.866085           0
     2.52649    0.839976           0
     2.55214    0.816116           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00815216 5.79342e-05
    0.987511   0.0834416 0.000686071
     1.01316    0.446482   0.0101019
     1.03881     1.14661    0.041294
     1.06446     1.90944    0.072231
     1.09011     2.63275   0.0913905
     1.11576     2.89729   0.0401998
     1.14141     2.90173   0.0469387
     1.16706     2.69231   0.0448529
     1.19271     2.43284   0.0344679
     1.21836     2.19206   0.0746859
     1.24401     1.97357   0.0700179
     1.26966     1.57625   0.0757247
     1.29531     1.31823    0.028776
     1.32096      1.1733   0.0114783
     1.34661     1.07198  0.00521649
     1.37226    0.985448  0.00182024
     1.39791    0.866588   0.0250723
     1.42355    0.781737   0.0170404
      1.4492    0.703712 0.000570074
     1.47485    0.679108   0.0047935
      1.5005    0.656766  0.00913388
     1.52615    0.618071  0.00614599
      1.5518    0.575301  0.00433867
     1.57745     0.55694   0.0101168
      1.6031    0.560664    0.016729
     1.62875    0.573732  0.00533015
      1.6544    0.589162   0.0060585
     1.68005    0.617818  0.00166051
      1.7057    0.627067  0.00219941
     1.73135    0.696069  0.00902374
       1.757    0.723945  0.00232088
     1.78265    0.790061  0.00564226
      1.8083    0.811128  0.00514549
     1.83395    0.837613  0.00950027
      1.8596    0.882477   0.0394292
     1.88525    0.934813    0.044043
      1.9109    0.991571   0.0517148
     1.93655     1.04542    0.045524
      1.9622     1.09391   0.0462117
     1.98785     1.14831   0.0357361
      2.0135     1.18843   0.0224251
     2.03915     1.22167   0.0103212
      2.0648     1.26766   0.0188257
     2.09045     1.29912   0.0378295
      2.1161     1.33562   0.0910413
     2.14174     1.28594   0.0433635
     2.16739     1.26734   0.0180838
     2.19304     1.23163  0.00268631
     2.21869     1.21503  0.00120105
     2.24434     1.18513 0.000190846
     2.26999     1.12027  0.00992275
     2.29564     1.11462  0.00341968
     2.32129     1.08042   0.0174869
     2.34694     1.03311  0.00916742
     2.37259     1.00339   0.0063314
     2.39824    0.971192  0.00712668
     2.42389    0.947164  0.00846718
     2.44954    0.950452   0.0316756
     2.47519      0.8788    0.024353
     2.50084    0.848085   0.0127274
     2.52649    0.843685  0.00262263
     2.55214    0.828456  0.00872527
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00761961  0.00043654
    0.987511   0.0881247  0.00385098
     1.01316    0.446396  0.00673497
     1.03881     1.15987   0.0295792
     1.06446     1.92545   0.0498956
     1.09011     2.64975   0.0624884
     1.11576     2.93227   0.0391628
     1.14141     2.92775   0.0378234
     1.16706     2.73204   0.0441235
     1.19271     2.43625   0.0231466
     1.21836      2.1455   0.0626431
     1.24401     1.93188   0.0577723
     1.26966     1.57668   0.0504844
     1.29531     1.33907   0.0256438
     1.32096     1.18553   0.0125764
     1.34661     1.07268  0.00352382
     1.37226    0.967996   0.0143009
     1.39791    0.860909   0.0173461
     1.42355    0.757559   0.0227769
      1.4492    0.705138  0.00122506
     1.47485    0.677156  0.00357104
      1.5005    0.651998  0.00722736
     1.52615     0.60478   0.0115991
      1.5518    0.573096  0.00340681
     1.57745    0.547837   0.0100367
      1.6031    0.554481   0.0122422
     1.62875    0.570748  0.00430805
      1.6544    0.578596  0.00952634
     1.68005    0.602718   0.0123788
      1.7057     0.62053    0.005535
     1.73135    0.697345  0.00610528
       1.757    0.736898   0.0106888
     1.78265    0.785749  0.00515185
      1.8083    0.815421  0.00490491
     1.83395    0.848446   0.0108788
      1.8596    0.890623   0.0271146
     1.88525    0.946794   0.0309487
      1.9109     1.00117   0.0353566
     1.93655     1.04694   0.0303747
      1.9622     1.10285   0.0316598
     1.98785     1.16515   0.0275059
      2.0135     1.19387   0.0155952
     2.03915     1.21895  0.00723084
      2.0648     1.26565   0.0126575
     2.09045     1.27943   0.0299088
      2.1161     1.31805   0.0623672
     2.14174     1.28089   0.0292013
     2.16739     1.27662   0.0142376
     2.19304     1.25285   0.0174179
     2.21869     1.22326  0.00676239
     2.24434     1.19632  0.00913927
     2.26999     1.13889   0.0165846
     2.29564     1.12489  0.00869291
     2.32129     1.08724   0.0129226
     2.34694     1.03963  0.00810066
     2.37259     1.00383  0.00423665
     2.39824    0.964592  0.00718424
     2.42389    0.940105  0.00806739
     2.44954    0.936592   0.0239584
     2.47519    0.873121   0.0168846
     2.50084    0.843914   0.0091429
     2.52649    0.831092   0.0104296
     2.55214    0.816343   0.0114736
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00856182 0.000879212
    0.987511   0.0881571  0.00288837
     1.01316     0.44524  0.00514961
     1.03881     1.16592   0.0227962
     1.06446     1.95622   0.0459441
     1.09011     2.66429   0.0485279
     1.11576     2.94221   0.0306078
     1.14141     2.92071   0.0290144
     1.16706     2.72309   0.0339887
     1.19271     2.40908   0.0292402
     1.21836     2.14442   0.0469917
     1.24401     1.90369   0.0497349
     1.26966      1.5763   0.0378648
     1.29531     1.34176   0.0193742
     1.32096     1.18123   0.0101408
     1.34661     1.05588   0.0147905
     1.37226    0.962681   0.0116717
     1.39791    0.857931   0.0132627
     1.42355    0.759324    0.017151
      1.4492    0.700753  0.00390744
     1.47485    0.683421  0.00605045
      1.5005     0.64897  0.00602143
     1.52615    0.611938   0.0106821
      1.5518    0.582805  0.00878756
     1.57745    0.570047   0.0206551
      1.6031    0.566873   0.0141235
     1.62875    0.576264  0.00576673
      1.6544    0.583704   0.0084036
     1.68005    0.606096  0.00973413
      1.7057    0.626128  0.00638285
     1.73135    0.695097  0.00497539
       1.757    0.736469  0.00802522
     1.78265    0.780584  0.00591109
      1.8083    0.807201  0.00801329
     1.83395    0.842555  0.00962298
      1.8596    0.890047    0.020342
     1.88525    0.941508   0.0236587
      1.9109     1.00242   0.0265396
     1.93655     1.04537   0.0228214
      1.9622     1.10432   0.0237791
     1.98785     1.16152    0.020868
      2.0135     1.18625   0.0134307
     2.03915     1.21691  0.00570505
      2.0648     1.26289  0.00978925
     2.09045     1.26983   0.0239232
      2.1161     1.30722   0.0477058
     2.14174     1.28899   0.0229978
     2.16739     1.27712   0.0106872
     2.19304      1.2516    0.013108
     2.21869     1.22665  0.00586086
     2.24434     1.19933  0.00733233
     2.26999     1.14248   0.0128197
     2.29564     1.13425    0.010399
     2.32129     1.08892  0.00980055
     2.34694     1.04599  0.00820419
     2.37259     1.00204  0.00353713
     2.39824    0.968215  0.00623501
     2.42389    0.943337  0.00666655
     2.44954    0.929524   0.0189827
     2.47519    0.874415   0.0127129
     2.50084    0.843653  0.00686091
     2.52649    0.835043   0.0085377
     2.55214    0.820051   0.0091849
