#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -1.09281    -1.09281           0
           2   -0.737083   -0.914948    0.125769
           3   -0.784041   -0.871312    0.091102
           4   -0.771564   -0.846375   0.0716582
           5   -0.745965   -0.826293   0.0600747
           6   -0.786807   -0.819712   0.0504214
           7   -0.702253   -0.802932   0.0459257
           8    -0.78859   -0.801139   0.0402199
           9   -0.712755   -0.791319   0.0369305
          10   -0.555061   -0.767693   0.0400885
          11   -0.733732   -0.764606   0.0365628
          12   -0.663107   -0.756147   0.0344804
          13   -0.762313   -0.756622   0.0318313
          14   -0.795625   -0.759408   0.0296793
          15   -0.777429   -0.760609    0.027725
          16   -0.804083   -0.763326    0.026125
          17   -0.661571   -0.757341   0.0252646
          18    -0.64047   -0.750848   0.0246812
          19   -0.738187   -0.750181   0.0233912
          20   -0.651879   -0.745266   0.0227322
