#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.01485    -6.01485           0
           2    -5.95838    -5.98662   0.0199644
           3    -5.99644    -5.98989   0.0135755
           4    -5.96796    -5.98441   0.0112349
           5    -5.97884    -5.98329  0.00904285
           6    -5.96988    -5.98106  0.00780734
           7    -5.97117    -5.97965  0.00681872
           8    -5.99039    -5.98099  0.00609732
           9     -5.9652    -5.97923  0.00566675
          10    -5.95982    -5.97729  0.00542245
          11     -5.9752     -5.9771  0.00493282
          12     -5.9575    -5.97547   0.0047846
          13     -5.9774    -5.97562  0.00441885
          14    -5.97401     -5.9755   0.0041047
          15    -5.97632    -5.97556  0.00383142
          16    -5.97154    -5.97531  0.00360017
          17    -5.96685    -5.97481   0.0034226
          18    -5.96588    -5.97431  0.00326825
          19    -5.95983    -5.97355  0.00318394
          20    -5.95405    -5.97258  0.00317055
