#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -1.77723    -1.77723           0
           2     -1.4215    -1.59936    0.125769
           3    -1.46846    -1.55573    0.091102
           4    -1.45598    -1.53079   0.0716582
           5    -1.43038    -1.51071   0.0600747
           6    -1.47122    -1.50413   0.0504214
           7    -1.38667    -1.48735   0.0459257
           8    -1.47301    -1.48556   0.0402199
           9    -1.39717    -1.47574   0.0369305
          10    -1.23948    -1.45211   0.0400885
          11    -1.41815    -1.44902   0.0365628
          12    -1.34752    -1.44056   0.0344804
          13    -1.44673    -1.44104   0.0318313
          14    -1.48004    -1.44383   0.0296793
          15    -1.46185    -1.44503    0.027725
          16     -1.4885    -1.44774    0.026125
          17    -1.34599    -1.44176   0.0252646
          18    -1.32489    -1.43527   0.0246812
          19     -1.4226     -1.4346   0.0233912
          20     -1.3363    -1.42968   0.0227322
