#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -50.9649    -50.9649           0
           2    -50.9609    -50.9629  0.00141128
           3    -50.9641    -50.9633 0.000994308
           4    -50.9637    -50.9634 0.000751718
           5    -50.9629    -50.9633 0.000607608
           6    -50.9632    -50.9633 0.000506539
           7    -50.9625    -50.9632 0.000445548
           8    -50.9623    -50.9631  0.00040334
           9    -50.9631    -50.9631 0.000358596
          10     -50.961    -50.9629 0.000378058
          11    -50.9618    -50.9628 0.000355239
          12    -50.9623    -50.9627 0.000327479
          13    -50.9637    -50.9628 0.000310439
          14    -50.9626    -50.9628 0.000288605
          15    -50.9634    -50.9628 0.000272394
          16    -50.9647    -50.9629 0.000278259
          17     -50.962    -50.9629 0.000266896
          18     -50.962    -50.9628 0.000256131
          19    -50.9636    -50.9629 0.000245755
          20     -50.962    -50.9628 0.000237441
