# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000229521           0
    0.961861   0.0091845           0
    0.987511   0.0893369           0
     1.01316    0.448986           0
     1.03881     1.18323           0
     1.06446     2.02616           0
     1.09011     2.69066           0
     1.11576     2.98225           0
     1.14141     2.94745           0
     1.16706      2.7121           0
     1.19271     2.39629           0
     1.21836     2.11039           0
     1.24401     1.85158           0
     1.26966     1.56544           0
     1.29531     1.34524           0
     1.32096     1.17321           0
     1.34661     1.05425           0
     1.37226    0.933209           0
     1.39791    0.831699           0
     1.42355    0.755775           0
      1.4492    0.692491           0
     1.47485    0.664377           0
      1.5005    0.634202           0
     1.52615    0.610648           0
      1.5518    0.582749           0
     1.57745    0.578669           0
      1.6031    0.582171           0
     1.62875    0.584944           0
      1.6544    0.590186           0
     1.68005    0.611791           0
      1.7057    0.641213           0
     1.73135    0.694037           0
       1.757    0.735276           0
     1.78265    0.769651           0
      1.8083    0.806364           0
     1.83395    0.854709           0
      1.8596    0.905452           0
     1.88525    0.966924           0
      1.9109     1.03061           0
     1.93655       1.075           0
      1.9622     1.12231           0
     1.98785     1.16022           0
      2.0135     1.18667           0
     2.03915     1.21712           0
      2.0648     1.24677           0
     2.09045     1.26137           0
      2.1161     1.27835           0
     2.14174     1.27934           0
     2.16739     1.26779           0
     2.19304     1.24775           0
     2.21869     1.21192           0
     2.24434     1.18231           0
     2.26999     1.14463           0
     2.29564     1.12179           0
     2.32129     1.08196           0
     2.34694     1.03349           0
     2.37259     1.00393           0
     2.39824    0.971516           0
     2.42389    0.930889           0
     2.44954    0.911897           0
     2.47519    0.879969           0
     2.50084    0.856083           0
     2.52649    0.836734           0
     2.55214    0.834052           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000160232  4.8995e-05
    0.961861  0.00821361  0.00068652
    0.987511   0.0923466  0.00212819
     1.01316    0.455503  0.00460835
     1.03881     1.18749  0.00301264
     1.06446     2.03937  0.00933827
     1.09011     2.70121  0.00745398
     1.11576     2.97522  0.00497396
     1.14141     2.95439  0.00490699
     1.16706     2.71477  0.00188649
     1.19271     2.40385  0.00534168
     1.21836     2.08416   0.0185443
     1.24401     1.82203   0.0208942
     1.26966     1.55367  0.00831897
     1.29531     1.34245  0.00197117
     1.32096     1.17958  0.00450127
     1.34661     1.04295  0.00798844
     1.37226     0.92458  0.00610201
     1.39791    0.834578  0.00203598
     1.42355     0.76048  0.00332688
      1.4492    0.705668  0.00931789
     1.47485    0.665234 0.000605685
      1.5005    0.640074  0.00415198
     1.52615    0.618132  0.00529175
      1.5518    0.593547  0.00763573
     1.57745    0.583142  0.00316314
      1.6031    0.590559  0.00593141
     1.62875    0.587895  0.00208661
      1.6544    0.597129  0.00490949
     1.68005    0.615314  0.00249077
      1.7057    0.643584  0.00167677
     1.73135    0.677916   0.0113992
       1.757    0.720526     0.01043
     1.78265    0.764291  0.00379002
      1.8083    0.806221 0.000101072
     1.83395    0.861307   0.0046655
      1.8596    0.908637  0.00225154
     1.88525    0.962585    0.003068
      1.9109     1.02149   0.0064506
     1.93655     1.07482 0.000127943
      1.9622     1.11883  0.00245835
     1.98785     1.15688  0.00236548
      2.0135     1.18514  0.00108238
     2.03915     1.21632 0.000565849
      2.0648       1.249  0.00157176
     2.09045     1.26348  0.00149335
      2.1161     1.27741 0.000666148
     2.14174     1.27904 0.000212635
     2.16739     1.27279  0.00353677
     2.19304     1.25057  0.00199392
     2.21869      1.2188   0.0048636
     2.24434     1.18743  0.00362065
     2.26999     1.15688  0.00865576
     2.29564     1.11972  0.00146248
     2.32129     1.08284 0.000621763
     2.34694     1.03882  0.00377181
     2.37259    0.997778  0.00434947
     2.39824    0.963717  0.00551438
     2.42389    0.927918  0.00210112
     2.44954    0.905569  0.00447507
     2.47519    0.877579  0.00169032
     2.50084    0.854619  0.00103527
     2.52649    0.839596  0.00202381
     2.55214     0.83509 0.000733504
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000134248 3.89486e-05
    0.961861  0.00808525 0.000469526
    0.987511   0.0932321   0.0015924
     1.01316    0.455501  0.00307223
     1.03881     1.18889  0.00231203
     1.06446     2.04617  0.00834411
     1.09011     2.71586   0.0129541
     1.11576     2.98999    0.012514
     1.14141     2.95324  0.00340296
     1.16706     2.71816  0.00304708
     1.19271     2.40819  0.00502772
     1.21836     2.07956   0.0129202
     1.24401     1.80724   0.0184352
     1.26966     1.54849  0.00697695
     1.29531     1.33722  0.00447113
     1.32096     1.17106  0.00757361
     1.34661     1.03539  0.00815325
     1.37226     0.91862  0.00634246
     1.39791    0.830765  0.00339681
     1.42355    0.758694  0.00265426
      1.4492    0.705256  0.00622104
     1.47485    0.667079  0.00155989
      1.5005    0.634777  0.00513436
     1.52615    0.614127  0.00481051
      1.5518    0.597813  0.00616812
     1.57745    0.590191  0.00612965
      1.6031     0.59219   0.0041724
     1.62875    0.591685   0.0033926
      1.6544    0.602704  0.00560685
     1.68005    0.616828   0.0020701
      1.7057    0.644425  0.00131168
     1.73135    0.676973  0.00763839
       1.757    0.720471  0.00695347
     1.78265    0.765116  0.00261495
      1.8083    0.809786  0.00291141
     1.83395    0.863557   0.0036123
      1.8596    0.914319  0.00487667
     1.88525     0.96897  0.00560052
      1.9109     1.02217  0.00433551
     1.93655     1.07196  0.00233723
      1.9622     1.11774  0.00186867
     1.98785     1.15428  0.00264585
      2.0135     1.18789  0.00236286
     2.03915     1.21587 0.000524798
      2.0648     1.24293  0.00506704
     2.09045     1.26244  0.00130957
      2.1161     1.27641 0.000931132
     2.14174     1.27922 0.000204445
     2.16739     1.27374  0.00248181
     2.19304     1.25358   0.0027924
     2.21869       1.222  0.00416429
     2.24434     1.19403  0.00590183
     2.26999     1.15903  0.00603335
     2.29564     1.11498  0.00399166
     2.32129     1.07839  0.00365653
     2.34694     1.03469  0.00420629
     2.37259    0.993845  0.00432647
     2.39824    0.960058  0.00473714
     2.42389    0.927037  0.00157466
     2.44954    0.901993  0.00417429
     2.47519    0.875887  0.00178288
     2.50084    0.854161 0.000785257
     2.52649    0.844166  0.00396781
     2.55214    0.837168  0.00176621
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000139662 2.95852e-05
    0.961861  0.00833036 0.000411176
    0.987511   0.0941784  0.00144845
     1.01316    0.456622   0.0025003
     1.03881     1.19539  0.00588882
     1.06446     2.05427  0.00939928
     1.09011     2.71819  0.00992343
     1.11576     2.99037  0.00939116
     1.14141     2.95713  0.00422855
     1.16706     2.71783  0.00230336
     1.19271     2.40907  0.00384596
     1.21836     2.07359   0.0109844
     1.24401     1.79924   0.0154657
     1.26966     1.54495  0.00606648
     1.29531     1.33381  0.00446835
     1.32096     1.17161   0.0057003
     1.34661     1.03115  0.00713154
     1.37226    0.919163  0.00478002
     1.39791    0.828007  0.00349174
     1.42355    0.755681  0.00328223
      1.4492    0.703191  0.00499658
     1.47485    0.665622  0.00172087
      1.5005    0.635775  0.00394642
     1.52615    0.614786  0.00365275
      1.5518    0.599477  0.00484524
     1.57745    0.593139  0.00525881
      1.6031    0.594935  0.00392966
     1.62875    0.592927  0.00276245
      1.6544    0.604279  0.00442072
     1.68005    0.618146  0.00192724
      1.7057    0.645745  0.00150815
     1.73135    0.678927  0.00597365
       1.757    0.721805  0.00534158
     1.78265    0.767627  0.00292828
      1.8083    0.811959  0.00288263
     1.83395    0.865692  0.00328039
      1.8596    0.916668  0.00418492
     1.88525    0.969442  0.00422018
      1.9109     1.02309  0.00334884
     1.93655     1.07323  0.00207292
      1.9622     1.11645  0.00178991
     1.98785      1.1517  0.00298566
      2.0135     1.18396   0.0038375
     2.03915     1.21325  0.00230204
      2.0648     1.23877  0.00523473
     2.09045     1.26015   0.0022153
      2.1161     1.27592 0.000815269
     2.14174     1.28021 0.000873826
     2.16739     1.27361  0.00186492
     2.19304     1.25377  0.00210112
     2.21869     1.22328  0.00331499
     2.24434     1.19507  0.00451815
     2.26999     1.16088  0.00480016
     2.29564     1.11688  0.00341533
     2.32129     1.07888  0.00277547
     2.34694     1.03446  0.00316098
     2.37259    0.992698  0.00339346
     2.39824    0.956598  0.00464816
     2.42389    0.924423  0.00255338
     2.44954    0.899491  0.00380751
     2.47519    0.874535  0.00177684
     2.50084    0.853814 0.000660844
     2.52649    0.844208  0.00297608
     2.55214    0.836783  0.00136608
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
