#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.847511    0.847511           0
           2    0.838115    0.842813  0.00332188
           3    0.839268    0.841631  0.00241566
           4    0.834664     0.83989  0.00235753
           5    0.837891     0.83949   0.0019196
           6    0.834702    0.838692   0.0017577
           7    0.839032    0.838741  0.00150727
           8    0.839541    0.838841  0.00132218
           9    0.836859     0.83862  0.00119347
          10    0.846936    0.839452  0.00133271
          11    0.844116    0.839876  0.00127722
          12    0.845569     0.84035  0.00125582
          13     0.84137    0.840429  0.00116166
          14    0.838373    0.840282  0.00108792
          15    0.838422    0.840158  0.00102244
          16    0.834677    0.839815  0.00101431
          17    0.842282    0.839961 0.000964963
          18    0.841569     0.84005 0.000915483
          19    0.844822    0.840301 0.000901101
          20    0.834399    0.840006 0.000903079
