#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.97729    -5.97729           0
           2    -5.96786    -5.97258  0.00333572
           3    -5.96875     -5.9713  0.00245547
           4    -5.96397    -5.96947  0.00243049
           5    -5.96701    -5.96898  0.00199348
           6    -5.96394    -5.96814  0.00182925
           7    -5.96901    -5.96826  0.00157217
           8    -5.96912    -5.96837  0.00137927
           9    -5.96572    -5.96808  0.00125695
          10    -5.97669    -5.96894  0.00139561
          11    -5.97424    -5.96942  0.00134947
          12    -5.97555    -5.96993  0.00133031
          13    -5.97122    -5.97003  0.00123167
          14    -5.96749    -5.96985  0.00115699
          15    -5.96837    -5.96975  0.00108405
          16    -5.96459    -5.96943  0.00106318
          17    -5.97163    -5.96956  0.00100852
          18    -5.97088    -5.96963 0.000955154
          19    -5.97443    -5.96988 0.000937726
          20    -5.96363    -5.96957 0.000941488
