#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -1.45211    -1.45211           0
           2    -1.40726    -1.42968   0.0158581
           3    -1.38398    -1.41445    0.016324
           4    -1.36013    -1.40087   0.0169767
           5    -1.37974    -1.39664   0.0140975
           6    -1.34625    -1.38825   0.0140282
           7     -1.3955    -1.38928   0.0120624
           8    -1.40287    -1.39098   0.0106735
           9    -1.36039    -1.38758   0.0100141
          10    -1.39895    -1.38872  0.00907696
          11    -1.40126    -1.38986  0.00832302
          12    -1.41161    -1.39167  0.00782431
          13    -1.40144    -1.39242  0.00725845
          14    -1.35816    -1.38998  0.00714062
          15    -1.41328    -1.39153  0.00683154
          16    -1.42088    -1.39336  0.00664628
          17    -1.39217    -1.39329  0.00625569
          18    -1.37247    -1.39214   0.0060142
          19    -1.41633    -1.39341  0.00583094
          20    -1.36434    -1.39196  0.00571764
