#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.565007    0.565007           0
           2    0.558744    0.561875  0.00221459
           3    0.559512    0.561088  0.00161044
           4    0.556443    0.559926  0.00157169
           5    0.558594     0.55966  0.00127973
           6    0.556468    0.559128   0.0011718
           7    0.559355     0.55916  0.00100485
           8    0.559694    0.559227 0.000881455
           9    0.557906     0.55908  0.00079565
          10    0.564624    0.559635 0.000888475
          11    0.562744    0.559917 0.000851477
          12    0.563713    0.560234 0.000837211
          13    0.560913    0.560286  0.00077444
          14    0.558916    0.560188 0.000725282
          15    0.558948    0.560105 0.000681625
          16    0.556451    0.559877 0.000676204
          17    0.561521    0.559974 0.000643308
          18    0.561046    0.560033 0.000610322
          19    0.563215    0.560201 0.000600734
          20    0.556266    0.560004 0.000602053
