#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.12978    -5.12978           0
           2    -5.12974    -5.12976 1.38369e-05
           3    -5.12948    -5.12967 7.68097e-05
           4    -5.12931    -5.12958 9.66808e-05
           5    -5.12912    -5.12949 0.000112882
           6    -5.12924    -5.12945 0.000101231
           7    -5.12998    -5.12952  0.00011171
           8    -5.12958    -5.12953 9.79417e-05
           9    -5.12887    -5.12946 0.000111393
          10    -5.12975    -5.12948 0.000104201
          11    -5.13013    -5.12954 0.000109792
          12    -5.12998    -5.12958 0.000106608
          13    -5.12985     -5.1296 0.000100408
          14    -5.12912    -5.12957 9.90405e-05
          15    -5.12995    -5.12959 9.56286e-05
          16    -5.12991    -5.12961 9.17412e-05
          17    -5.12935     -5.1296  8.7634e-05
          18    -5.12931    -5.12958 8.42098e-05
          19    -5.12961    -5.12958 7.97921e-05
          20    -5.12923    -5.12956 7.76852e-05
