#   N_BLOCK:  ACCEPTANCE:
           1    0.511302
           2    0.510902
           3    0.510594
           4     0.51051
           5    0.510336
           6    0.510157
           7    0.510278
           8    0.510269
           9    0.510242
          10    0.510205
          11    0.510251
          12    0.510311
          13    0.510284
          14    0.510226
          15    0.510226
          16    0.510273
          17    0.510257
          18    0.510264
          19    0.510248
          20    0.510205
