# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 4.86307e-06           0
    0.910562  0.00121968           0
    0.936212   0.0243379           0
    0.961861    0.163953           0
    0.987511    0.559032           0
     1.01316     1.19468           0
     1.03881     1.85947           0
     1.06446     2.32705           0
     1.09011      2.5475           0
     1.11576     2.54153           0
     1.14141     2.40216           0
     1.16706     2.20325           0
     1.19271     1.97505           0
     1.21836     1.76304           0
     1.24401     1.56882           0
     1.26966     1.39861           0
     1.29531     1.25146           0
     1.32096     1.12771           0
     1.34661     1.02919           0
     1.37226    0.947179           0
     1.39791    0.875814           0
     1.42355    0.817223           0
      1.4492    0.778735           0
     1.47485     0.73895           0
      1.5005    0.710835           0
     1.52615    0.689754           0
      1.5518     0.67706           0
     1.57745    0.669789           0
      1.6031    0.669256           0
     1.62875    0.674615           0
      1.6544    0.684898           0
     1.68005    0.697311           0
      1.7057     0.71881           0
     1.73135    0.747176           0
       1.757    0.776802           0
     1.78265    0.812365           0
      1.8083    0.847947           0
     1.83395    0.890079           0
      1.8596    0.934633           0
     1.88525    0.972988           0
      1.9109     1.01732           0
     1.93655      1.0563           0
      1.9622     1.09417           0
     1.98785     1.13032           0
      2.0135     1.16077           0
     2.03915     1.18326           0
      2.0648     1.20594           0
     2.09045     1.21724           0
      2.1161     1.21819           0
     2.14174     1.21184           0
     2.16739     1.19732           0
     2.19304     1.17903           0
     2.21869     1.15267           0
     2.24434      1.1283           0
     2.26999     1.09868           0
     2.29564     1.06683           0
     2.32129      1.0401           0
     2.34694     1.01366           0
     2.37259    0.991136           0
     2.39824    0.969348           0
     2.42389    0.948298           0
     2.44954    0.932949           0
     2.47519     0.91732           0
     2.50084    0.908335           0
     2.52649    0.894446           0
     2.55214    0.885847           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 2.43154e-06 1.71936e-06
    0.910562  0.00116924  3.5665e-05
    0.936212   0.0243011 2.60286e-05
    0.961861    0.164516 0.000398297
    0.987511    0.563747  0.00333431
     1.01316     1.19978  0.00360727
     1.03881     1.85886 0.000429141
     1.06446     2.33079  0.00264808
     1.09011      2.5509  0.00240324
     1.11576     2.54386  0.00164731
     1.14141     2.40561  0.00244024
     1.16706     2.20148  0.00124922
     1.19271     1.97371 0.000944184
     1.21836     1.75839  0.00328318
     1.24401     1.56456  0.00300871
     1.26966       1.393  0.00396548
     1.29531     1.24762  0.00271774
     1.32096     1.12662 0.000768749
     1.34661     1.02744  0.00123683
     1.37226    0.943567  0.00255394
     1.39791     0.87444 0.000971474
     1.42355     0.81827 0.000740606
      1.4492    0.776539  0.00155298
     1.47485    0.738284 0.000470887
      1.5005    0.711038 0.000143574
     1.52615      0.6911 0.000951219
      1.5518    0.676809 0.000177144
     1.57745    0.671667  0.00132746
      1.6031    0.669947 0.000488757
     1.62875    0.675475 0.000608596
      1.6544    0.685998 0.000777651
     1.68005    0.701896  0.00324218
      1.7057    0.722297  0.00246567
     1.73135    0.748523 0.000952555
       1.757    0.778843  0.00144293
     1.78265    0.813093 0.000514877
      1.8083    0.850521   0.0018201
     1.83395    0.892916  0.00200604
      1.8596    0.934465 0.000119277
     1.88525    0.975345  0.00166708
      1.9109     1.01752 0.000138592
     1.93655     1.05669 0.000275703
      1.9622     1.09389 0.000197697
     1.98785     1.12915 0.000826963
      2.0135     1.15983 0.000666326
     2.03915     1.18422  0.00067451
      2.0648     1.20265  0.00231978
     2.09045     1.21523  0.00142188
      2.1161     1.21434  0.00272299
     2.14174     1.20968  0.00152729
     2.16739     1.19634 0.000691633
     2.19304     1.17687  0.00152801
     2.21869     1.15141 0.000891418
     2.24434     1.12584  0.00174056
     2.26999     1.09785 0.000588762
     2.29564     1.06771 0.000628749
     2.32129     1.04042 0.000226446
     2.34694     1.01361    3.11e-05
     2.37259    0.990049 0.000768434
     2.39824    0.967571  0.00125641
     2.42389    0.949638 0.000947591
     2.44954    0.932356   0.0004192
     2.47519    0.919563  0.00158601
     2.50084    0.909708  0.00097082
     2.52649    0.895924   0.0010452
     2.55214    0.886878 0.000728532
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 8.10512e-06 4.77217e-06
    0.910562  0.00122579 5.19363e-05
    0.936212   0.0245126  0.00017354
    0.961861     0.16532 0.000707836
    0.987511     0.56253  0.00243498
     1.01316     1.20167  0.00285554
     1.03881     1.85942 0.000539545
     1.06446     2.33041  0.00179274
     1.09011     2.54957  0.00193861
     1.11576     2.54612  0.00215099
     1.14141     2.40184  0.00348388
     1.16706     2.19958  0.00175933
     1.19271     1.97431 0.000793996
     1.21836     1.75711  0.00242526
     1.24401     1.56264  0.00254892
     1.26966     1.39244  0.00268333
     1.29531      1.2483  0.00189582
     1.32096     1.12599 0.000726069
     1.34661     1.02699 0.000903157
     1.37226    0.943878  0.00172137
     1.39791    0.875037 0.000810667
     1.42355    0.819866  0.00139366
      1.4492    0.776898  0.00107597
     1.47485    0.739729  0.00122088
      1.5005     0.71153 0.000412905
     1.52615    0.691872 0.000894523
      1.5518    0.677838 0.000848481
     1.57745    0.671729 0.000886429
      1.6031     0.67084 0.000798439
     1.62875     0.67587 0.000518272
      1.6544    0.685898 0.000524759
     1.68005    0.701839  0.00216195
      1.7057    0.722526  0.00165438
     1.73135    0.747956 0.000785926
       1.757    0.777998  0.00118347
     1.78265    0.813345 0.000400205
      1.8083    0.851162  0.00132148
     1.83395    0.891954  0.00155087
      1.8596     0.93468 0.000192676
     1.88525    0.974366  0.00136932
      1.9109      1.0161  0.00116158
     1.93655     1.05668 0.000184279
      1.9622     1.09312 0.000642224
     1.98785      1.1291 0.000552784
      2.0135     1.15962 0.000474463
     2.03915     1.18436 0.000465359
      2.0648     1.20246  0.00155498
     2.09045     1.21471   0.0010372
      2.1161     1.21423   0.0018177
     2.14174     1.20909  0.00112877
     2.16739     1.19599  0.00054271
     2.19304     1.17633  0.00110881
     2.21869      1.1521 0.000820558
     2.24434      1.1263  0.00121963
     2.26999      1.0976 0.000443394
     2.29564     1.06766  0.00042163
     2.32129     1.04052 0.000169533
     2.34694     1.01426 0.000526742
     2.37259    0.989166 0.000884662
     2.39824    0.968331  0.00104245
     2.42389    0.950265 0.000813293
     2.44954    0.933269 0.000795574
     2.47519    0.920037  0.00112594
     2.50084    0.910696  0.00103441
     2.52649    0.896656 0.000917976
     2.55214    0.887152 0.000534819
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 7.29461e-06  3.6473e-06
    0.910562  0.00123573 3.98911e-05
    0.936212   0.0241669 0.000326474
    0.961861    0.164973 0.000609963
    0.987511    0.562164  0.00185355
     1.01316     1.20153  0.00214507
     1.03881     1.85946 0.000405926
     1.06446      2.3311  0.00147132
     1.09011     2.54897   0.0015434
     1.11576     2.54453  0.00212176
     1.14141     2.40225  0.00263676
     1.16706     2.20153  0.00214057
     1.19271     1.97582  0.00144239
     1.21836      1.7582  0.00204679
     1.24401     1.56277  0.00191536
     1.26966     1.39292  0.00205561
     1.29531      1.2482  0.00142426
     1.32096     1.12664 0.000780692
     1.34661     1.02727 0.000721139
     1.37226    0.943839  0.00129146
     1.39791    0.874889  0.00062138
     1.42355    0.819798   0.0010469
      1.4492    0.776299 0.000959283
     1.47485    0.739116  0.00105871
      1.5005    0.710812 0.000694719
     1.52615    0.691041  0.00098432
      1.5518    0.677548 0.000684319
     1.57745    0.670877 0.000993217
      1.6031    0.670409  0.00070579
     1.62875    0.675003  0.00084565
      1.6544     0.68518 0.000736186
     1.68005    0.701486   0.0016501
      1.7057    0.722083  0.00129859
     1.73135    0.749251  0.00126695
       1.757    0.778619  0.00103751
     1.78265    0.813718 0.000440885
      1.8083    0.851467  0.00102582
     1.83395    0.891671  0.00118863
      1.8596    0.934501 0.000211704
     1.88525    0.974529  0.00103665
      1.9109     1.01602 0.000874228
     1.93655     1.05666 0.000138669
      1.9622      1.0939 0.000833099
     1.98785     1.13019   0.0010297
      2.0135     1.16053 0.000866845
     2.03915     1.18517 0.000781832
      2.0648     1.20335  0.00139856
     2.09045     1.21416 0.000913309
      2.1161     1.21493   0.0014939
     2.14174      1.2094 0.000888723
     2.16739     1.19644 0.000567979
     2.19304     1.17596   0.0008908
     2.21869     1.15209 0.000615586
     2.24434     1.12609 0.000932148
     2.26999     1.09776 0.000363022
     2.29564     1.06798 0.000421784
     2.32129     1.04052 0.000127197
     2.34694     1.01431 0.000397447
     2.37259    0.989255 0.000668039
     2.39824    0.967601  0.00100558
     2.42389    0.949221  0.00109058
     2.44954    0.932752 0.000745748
     2.47519     0.91944 0.000990401
     2.50084    0.910192 0.000890286
     2.52649    0.895992 0.000897063
     2.55214    0.885997   0.0010775
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
