#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46974    -5.46974           0
           2    -5.46395    -5.46685  0.00204778
           3    -5.46385    -5.46585  0.00159029
           4    -5.46881    -5.46659  0.00135425
           5     -5.4592    -5.46511  0.00170944
           6    -5.45493    -5.46341  0.00210467
           7    -5.46782    -5.46404   0.0018957
           8    -5.47235    -5.46508  0.00192238
           9    -5.47194    -5.46584  0.00185384
          10    -5.46251    -5.46551  0.00169815
          11    -5.46524    -5.46548  0.00154395
          12    -5.46351    -5.46532  0.00142407
          13    -5.46625    -5.46539  0.00131633
          14    -5.45836    -5.46489  0.00131465
          15     -5.4617    -5.46468  0.00124412
          16    -5.47152     -5.4651   0.0012377
          17    -5.46058    -5.46484  0.00119313
          18    -5.46641    -5.46493  0.00113003
          19    -5.46513    -5.46494  0.00107061
          20     -5.4606    -5.46472  0.00103878
