#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.484416    0.484416           0
           2     0.51965    0.502033   0.0124573
           3    0.509704     0.50459   0.0085633
           4    0.495636    0.502352  0.00670866
           5    0.542666    0.510414  0.00898952
           6    0.561444    0.518919   0.0107887
           7    0.496159    0.515668  0.00972511
           8     0.47943    0.511138  0.00950606
           9     0.48287    0.507997  0.00895369
          10    0.524281    0.509626  0.00820507
          11    0.515454    0.510155  0.00747624
          12    0.511249    0.510247  0.00685377
          13    0.515474    0.510649  0.00633835
          14    0.546341    0.513198  0.00637776
          15    0.531375     0.51441  0.00606661
          16    0.472955    0.511819  0.00621615
          17    0.529108    0.512836   0.0059331
          18     0.50474    0.512386  0.00562051
          19     0.51029    0.512276  0.00532578
          20    0.528497    0.513087  0.00512087
