# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000458526           0
    0.936212   0.0210813           0
    0.961861    0.176464           0
    0.987511    0.607766           0
     1.01316     1.26414           0
     1.03881     1.90752           0
     1.06446     2.36895           0
     1.09011     2.56296           0
     1.11576     2.53339           0
     1.14141     2.33059           0
     1.16706     2.12095           0
     1.19271      1.9218           0
     1.21836     1.73515           0
     1.24401     1.53034           0
     1.26966     1.34512           0
     1.29531     1.24676           0
     1.32096     1.12486           0
     1.34661     1.04497           0
     1.37226    0.956419           0
     1.39791     0.88779           0
     1.42355    0.822575           0
      1.4492     0.78819           0
     1.47485    0.745779           0
      1.5005     0.71749           0
     1.52615    0.698618           0
      1.5518    0.680088           0
     1.57745    0.681733           0
      1.6031    0.676673           0
     1.62875    0.673737           0
      1.6544    0.671098           0
     1.68005    0.714813           0
      1.7057     0.75034           0
     1.73135    0.779587           0
       1.757    0.790728           0
     1.78265    0.815783           0
      1.8083    0.847916           0
     1.83395    0.876233           0
      1.8596    0.931487           0
     1.88525    0.975527           0
      1.9109     1.03446           0
     1.93655     1.05606           0
      1.9622     1.09613           0
     1.98785     1.12324           0
      2.0135     1.15682           0
     2.03915     1.18751           0
      2.0648     1.21301           0
     2.09045     1.23714           0
      2.1161     1.20174           0
     2.14174     1.18686           0
     2.16739     1.17133           0
     2.19304     1.15875           0
     2.21869     1.12461           0
     2.24434     1.11997           0
     2.26999     1.07099           0
     2.29564     1.06013           0
     2.32129     1.04743           0
     2.34694     1.01996           0
     2.37259    0.973989           0
     2.39824     0.97461           0
     2.42389    0.946115           0
     2.44954    0.930635           0
     2.47519    0.921167           0
     2.50084    0.908917           0
     2.52649    0.903539           0
     2.55214    0.900286           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000669448 0.000149144
    0.936212   0.0224498 0.000967652
    0.961861     0.17353  0.00207404
    0.987511    0.591838   0.0112625
     1.01316     1.25494  0.00650376
     1.03881     1.88614   0.0151176
     1.06446     2.34796   0.0148462
     1.09011     2.56248 0.000336118
     1.11576     2.54866    0.010794
     1.14141     2.36939   0.0274351
     1.16706     2.15122   0.0214062
     1.19271     1.93444  0.00894039
     1.21836     1.74558  0.00737132
     1.24401     1.52963 0.000502877
     1.26966     1.36268   0.0124165
     1.29531      1.2377  0.00640098
     1.32096     1.11045   0.0101874
     1.34661     1.02063   0.0172137
     1.37226     0.94647  0.00703454
     1.39791    0.873684  0.00997497
     1.42355    0.808151   0.0101996
      1.4492    0.773246    0.010567
     1.47485    0.746599 0.000580297
      1.5005    0.721435  0.00278977
     1.52615    0.697352 0.000895397
      1.5518    0.688521  0.00596294
     1.57745     0.68006  0.00118301
      1.6031    0.677504 0.000587733
     1.62875    0.689727   0.0113064
      1.6544     0.68952   0.0130262
     1.68005    0.711512    0.002334
      1.7057    0.746966  0.00238561
     1.73135    0.769543  0.00710205
       1.757    0.784676  0.00427923
     1.78265     0.81341  0.00167787
      1.8083    0.846183  0.00122565
     1.83395    0.882903  0.00471636
      1.8596    0.933953  0.00174386
     1.88525     0.97075  0.00337748
      1.9109     1.02764  0.00482214
     1.93655     1.05829  0.00157704
      1.9622     1.10399  0.00556395
     1.98785     1.13263  0.00664472
      2.0135     1.15938  0.00181071
     2.03915     1.19033  0.00199159
      2.0648     1.20721  0.00409977
     2.09045     1.22477  0.00874867
      2.1161     1.21042   0.0061403
     2.14174     1.19425  0.00522913
     2.16739     1.17614  0.00340641
     2.19304     1.16242  0.00259334
     2.21869     1.14204   0.0123241
     2.24434       1.114  0.00422439
     2.26999     1.07733  0.00448528
     2.29564      1.0556  0.00320189
     2.32129     1.03529  0.00858279
     2.34694     1.00768   0.0086882
     2.37259    0.973189 0.000566069
     2.39824    0.966433  0.00578163
     2.42389    0.942182  0.00278119
     2.44954    0.924263  0.00450576
     2.47519    0.921367 0.000141336
     2.50084    0.912648  0.00263831
     2.52649    0.911278   0.0054718
     2.55214    0.897786  0.00176773
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000959848 0.000257114
    0.936212   0.0238183   0.0012902
    0.961861    0.174426  0.00156422
    0.987511    0.581173    0.011498
     1.01316     1.24005   0.0129134
     1.03881     1.88727   0.0101205
     1.06446     2.36621   0.0178913
     1.09011     2.56283 0.000362241
     1.11576     2.53983    0.010187
     1.14141     2.39515   0.0278769
     1.16706      2.1636   0.0174882
     1.19271      1.9364  0.00617018
     1.21836     1.74658   0.0049822
     1.24401     1.53557  0.00486104
     1.26966      1.3693  0.00988636
     1.29531      1.2431  0.00613208
     1.32096     1.10426  0.00846682
     1.34661     1.01315    0.012999
     1.37226    0.950951  0.00594779
     1.39791    0.875157  0.00675792
     1.42355    0.808733  0.00681629
      1.4492    0.779879  0.00888575
     1.47485    0.737367   0.0075482
      1.5005    0.711912  0.00799462
     1.52615     0.68899  0.00685371
      1.5518     0.67847  0.00911844
     1.57745     0.66823  0.00969173
      1.6031    0.668783  0.00713195
     1.62875    0.680638    0.010578
      1.6544    0.686009  0.00914513
     1.68005     0.71267  0.00182073
      1.7057    0.742141  0.00424906
     1.73135    0.765479   0.0057816
       1.757    0.778249  0.00597301
     1.78265    0.812095  0.00155059
      1.8083    0.850006  0.00322661
     1.83395    0.897448   0.0122856
      1.8596    0.946069  0.00996073
     1.88525    0.981995   0.0094534
      1.9109     1.03152  0.00451664
     1.93655     1.06308  0.00405268
      1.9622     1.10004  0.00492045
     1.98785     1.13759  0.00600013
      2.0135     1.16626  0.00574292
     2.03915     1.19298  0.00254191
      2.0648     1.21159  0.00449772
     2.09045     1.22324  0.00596398
      2.1161      1.2126   0.0044635
     2.14174     1.19709  0.00418557
     2.16739      1.1773  0.00245828
     2.19304     1.16144  0.00190646
     2.21869     1.14098  0.00826087
     2.24434     1.10826  0.00546626
     2.26999     1.07841  0.00311777
     2.29564      1.0554  0.00214039
     2.32129     1.02935  0.00750425
     2.34694     1.00125  0.00781781
     2.37259    0.977902   0.0038672
     2.39824    0.966529  0.00385521
     2.42389    0.941802  0.00187996
     2.44954    0.929604   0.0052955
     2.47519    0.920295 0.000880348
     2.50084    0.909531   0.0030936
     2.52649    0.902709  0.00789034
     2.55214    0.894988  0.00257095
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 3.40415e-05 2.94808e-05
    0.910562  0.00126095 0.000324316
    0.936212   0.0243033  0.00105489
    0.961861    0.177369  0.00280552
    0.987511    0.583447  0.00884556
     1.01316     1.23476   0.0107116
     1.03881     1.87459   0.0133534
     1.06446     2.36145    0.014036
     1.09011     2.56385 0.000927137
     1.11576     2.54123   0.0077368
     1.14141     2.40032   0.0213802
     1.16706     2.16384   0.0131177
     1.19271     1.93621  0.00463042
     1.21836     1.74603  0.00376691
     1.24401     1.54154  0.00632405
     1.26966     1.37978   0.0117227
     1.29531     1.25134  0.00849513
     1.32096     1.11621   0.0121411
     1.34661     1.02032   0.0115575
     1.37226    0.947945  0.00516455
     1.39791    0.872126  0.00570792
     1.42355    0.810338  0.00529776
      1.4492    0.779086  0.00669957
     1.47485    0.730504  0.00820806
      1.5005    0.707488  0.00711579
     1.52615     0.68575  0.00585631
      1.5518    0.677781  0.00686478
     1.57745    0.663975  0.00814916
      1.6031    0.667132  0.00553672
     1.62875    0.677398  0.00841497
      1.6544    0.683529  0.00718718
     1.68005    0.707856  0.00438722
      1.7057    0.736323  0.00596114
     1.73135    0.761546  0.00551439
       1.757    0.779793  0.00467518
     1.78265    0.815634   0.0032782
      1.8083    0.856173  0.00586333
     1.83395    0.898504  0.00925941
      1.8596    0.943858  0.00771219
     1.88525    0.985081  0.00757693
      1.9109     1.03036  0.00353326
     1.93655     1.06449  0.00327419
      1.9622      1.1023  0.00418034
     1.98785     1.13701  0.00452847
      2.0135     1.16309  0.00510721
     2.03915     1.19043   0.0029199
      2.0648      1.2092  0.00395626
     2.09045      1.2154  0.00813191
      2.1161     1.21348  0.00343312
     2.14174      1.2018  0.00514843
     2.16739     1.18532  0.00719075
     2.19304     1.16831   0.0061227
     2.21869     1.14433  0.00684111
     2.24434     1.11299  0.00579306
     2.26999     1.08501  0.00617045
     2.29564     1.05546  0.00160592
     2.32129     1.02805  0.00573885
     2.34694    0.998868  0.00621461
     2.37259    0.979287  0.00313837
     2.39824    0.965297   0.0030821
     2.42389    0.941727  0.00141146
     2.44954    0.930244  0.00401015
     2.47519    0.922004  0.00162044
     2.50084    0.909183  0.00233977
     2.52649    0.896629  0.00792069
     2.55214    0.893541   0.0022994
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
