#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64459     1.64459           0
           2     1.66523     1.65491  0.00729562
           3     1.67341     1.66108  0.00700068
           4     1.66834     1.66289  0.00548076
           5     1.65467     1.66125   0.0046246
           6     1.65962     1.66098  0.00386177
           7     1.67105     1.66242  0.00356833
           8     1.66431     1.66265   0.0031301
           9     1.65183     1.66145  0.00300446
          10     1.67571     1.66288  0.00302351
          11     1.66512     1.66308  0.00275554
          12     1.67375     1.66397  0.00266544
          13     1.63502     1.66174  0.00326061
          14     1.66776     1.66217  0.00305595
          15      1.6745     1.66299  0.00296059
          16      1.6618     1.66292  0.00277649
          17     1.65887     1.66268  0.00262338
          18     1.65103     1.66203  0.00255625
          19     1.67767     1.66286  0.00255079
          20     1.66112     1.66277  0.00242474
          21     1.66463     1.66286  0.00231089
          22     1.68602     1.66391  0.00243391
          23     1.65299     1.66344  0.00237393
          24     1.66787     1.66362   0.0022822
          25     1.66834     1.66381  0.00219869
          26     1.65632     1.66352  0.00213292
          27     1.66412     1.66354  0.00205404
          28     1.66199     1.66349  0.00198143
          29     1.68437     1.66421  0.00203972
          30     1.65979     1.66406  0.00197703
