#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43664    -5.43664           0
           2    -5.40674    -5.42169    0.010573
           3    -5.44289    -5.42876  0.00910974
           4    -5.43931    -5.43139  0.00720405
           5    -5.43141     -5.4314  0.00576324
           6    -5.43414    -5.43186  0.00482082
           7    -5.44869    -5.43426  0.00469394
           8    -5.45554    -5.43692  0.00480195
           9    -5.43524    -5.43673  0.00427205
          10    -5.46511    -5.43957  0.00469345
          11    -5.42802    -5.43852  0.00438258
          12    -5.43106     -5.4379  0.00406118
          13    -5.43664     -5.4378  0.00374994
          14     -5.4506    -5.43872  0.00359172
          15    -5.42492     -5.4378  0.00346808
          16    -5.44622    -5.43832    0.003291
          17    -5.44696    -5.43883  0.00313636
          18      -5.453    -5.43962  0.00305937
          19    -5.43815    -5.43954  0.00289933
          20    -5.43589    -5.43936  0.00276009
