#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.58105     1.58105           0
           2     1.48902     1.53503   0.0325367
           3     1.50404      1.5247   0.0232739
           4     1.50922     1.52083   0.0177745
           5      1.5625     1.52916   0.0160547
           6     1.51668     1.52708   0.0135131
           7     1.48187     1.52062   0.0130351
           8     1.55776     1.52527   0.0122045
           9     1.55909     1.52903   0.0114125
          10     1.43974      1.5201   0.0133132
          11     1.51587     1.51971   0.0121084
          12     1.52756     1.52037    0.011117
          13     1.64996     1.53034   0.0140369
          14     1.53329     1.53055   0.0130359
          15     1.49898     1.52844   0.0123355
          16      1.5841     1.53192   0.0120451
          17      1.5203     1.53124   0.0113559
          18        1.52     1.53061   0.0107422
          19      1.4853     1.52823   0.0104382
          20     1.54424     1.52903  0.00994693
          21     1.49013     1.52718  0.00964419
          22     1.43676     1.52307   0.0100434
          23     1.56818     1.52503  0.00979631
          24      1.5085     1.52434  0.00941231
          25     1.50408     1.52353  0.00907062
          26     1.54977     1.52454  0.00877771
          27     1.48832      1.5232  0.00855451
          28     1.50145     1.52242  0.00828417
          29     1.46391      1.5204  0.00824056
          30     1.61398     1.52352  0.00853586
