#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.0964      1.0964           0
           2     1.11015     1.10327  0.00486375
           3     1.11561     1.10738  0.00466712
           4     1.11222     1.10859  0.00365384
           5     1.10311      1.1075  0.00308306
           6     1.10641     1.10732  0.00257451
           7     1.11404     1.10828  0.00237889
           8     1.10954     1.10844  0.00208674
           9     1.10122     1.10763  0.00200297
          10     1.11714     1.10858  0.00201568
          11     1.11008     1.10872  0.00183702
          12     1.11583     1.10931  0.00177696
          13     1.09001     1.10783  0.00217374
          14     1.11184     1.10812   0.0020373
          15     1.11633     1.10866  0.00197373
          16     1.10787     1.10861  0.00185099
          17     1.10591     1.10845  0.00174892
          18     1.10069     1.10802  0.00170417
          19     1.11845     1.10857  0.00170053
          20     1.10741     1.10851  0.00161649
          21     1.10975     1.10857   0.0015406
          22     1.12401     1.10927  0.00162261
          23       1.102     1.10896  0.00158262
          24     1.11192     1.10908  0.00152147
          25     1.11222     1.10921  0.00146579
          26     1.10421     1.10901  0.00142195
          27     1.10941     1.10903  0.00136936
          28     1.10799     1.10899  0.00132095
          29     1.12291     1.10947  0.00135981
          30     1.10653     1.10937  0.00131802
