#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77661    -3.77661           0
           2    -3.77637    -3.77649 8.42097e-05
           3    -3.77659    -3.77652 6.23457e-05
           4    -3.77715    -3.77668  0.00014401
           5    -3.77719    -3.77678 0.000147101
           6    -3.77701    -3.77682 0.000127598
           7    -3.77606    -3.77671 0.000148054
           8    -3.77666    -3.77671 0.000129682
           9     -3.7758     -3.7766 0.000149333
          10    -3.77712    -3.77666 0.000143182
          11     -3.7762    -3.77662  0.00013604
          12     -3.7764     -3.7766 0.000125826
          13    -3.77637    -3.77658   0.0001174
          14    -3.77618    -3.77655 0.000112451
          15    -3.77661    -3.77656 0.000105024
          16    -3.77584    -3.77651 0.000107666
          17    -3.77664    -3.77652 0.000101624
          18    -3.77651    -3.77652 9.59779e-05
          19    -3.77661    -3.77652 9.10604e-05
          20    -3.77586    -3.77649 9.23354e-05
          21    -3.77613    -3.77647 8.94975e-05
          22    -3.77754    -3.77652 9.76556e-05
          23    -3.77591    -3.77649 9.69565e-05
          24     -3.7774    -3.77653 0.000100013
          25    -3.77728    -3.77656 0.000100331
          26     -3.7767    -3.77657 9.66141e-05
          27    -3.77712    -3.77659 9.51942e-05
          28     -3.7777    -3.77663 9.96851e-05
          29    -3.77709    -3.77664 9.74951e-05
          30    -3.77644    -3.77664 9.44703e-05
