#   N_BLOCK:  ACCEPTANCE:
           1    0.509815
           2    0.510002
           3    0.509225
           4    0.509245
           5    0.509119
           6    0.509426
           7    0.509698
           8    0.509929
           9    0.509888
          10    0.509961
          11     0.51021
          12    0.510315
          13    0.510219
          14    0.510174
          15     0.51011
          16    0.510078
          17    0.510017
          18    0.509842
          19    0.509804
          20    0.509843
