# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 9.72615e-05           0
    0.910562  0.00192581           0
    0.936212    0.025204           0
    0.961861    0.173121           0
    0.987511    0.580288           0
     1.01316     1.21941           0
     1.03881      1.8492           0
     1.06446     2.34496           0
     1.09011     2.55037           0
     1.11576     2.53224           0
     1.14141      2.3683           0
     1.16706     2.18597           0
     1.19271     1.97028           0
     1.21836     1.73682           0
     1.24401     1.55977           0
     1.26966     1.39375           0
     1.29531     1.23378           0
     1.32096     1.11361           0
     1.34661     1.01942           0
     1.37226     0.94133           0
     1.39791    0.865873           0
     1.42355     0.82546           0
      1.4492    0.771584           0
     1.47485    0.730631           0
      1.5005    0.705802           0
     1.52615    0.699454           0
      1.5518    0.682616           0
     1.57745    0.687584           0
      1.6031    0.667931           0
     1.62875     0.68458           0
      1.6544    0.699098           0
     1.68005    0.716855           0
      1.7057    0.739672           0
     1.73135    0.769565           0
       1.757    0.790728           0
     1.78265    0.821874           0
      1.8083    0.858133           0
     1.83395    0.892645           0
      1.8596     0.93968           0
     1.88525    0.984141           0
      1.9109    0.999128           0
     1.93655     1.05807           0
      1.9622     1.08295           0
     1.98785     1.11853           0
      2.0135     1.15614           0
     2.03915     1.18084           0
      2.0648     1.20076           0
     2.09045     1.20924           0
      2.1161      1.2121           0
     2.14174     1.20338           0
     2.16739     1.19885           0
     2.19304      1.1708           0
     2.21869     1.14848           0
     2.24434     1.11836           0
     2.26999     1.09153           0
     2.29564     1.05842           0
     2.32129       1.032           0
     2.34694     1.00396           0
     2.37259    0.983285           0
     2.39824    0.965311           0
     2.42389    0.940228           0
     2.44954    0.933697           0
     2.47519    0.921415           0
     2.50084    0.911971           0
     2.52649    0.899279           0
     2.55214    0.895125           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 4.86307e-05 3.43871e-05
    0.910562  0.00132973 0.000421495
    0.936212   0.0237316  0.00104114
    0.961861    0.165235  0.00557616
    0.987511    0.563018   0.0122121
     1.01316     1.20881  0.00749832
     1.03881     1.85313  0.00278261
     1.06446     2.35466  0.00685842
     1.09011      2.5669   0.0116857
     1.11576     2.53999  0.00548033
     1.14141     2.38947   0.0149698
     1.16706     2.20408    0.012804
     1.19271     1.97064 0.000251658
     1.21836     1.74577  0.00632719
     1.24401     1.54833   0.0080905
     1.26966     1.39984  0.00430673
     1.29531     1.23642  0.00186643
     1.32096     1.12281  0.00650712
     1.34661     1.01539   0.0028447
     1.37226    0.939983 0.000952127
     1.39791    0.863137  0.00193486
     1.42355    0.820885  0.00323528
      1.4492    0.768953  0.00186057
     1.47485    0.738111  0.00528917
      1.5005    0.707321  0.00107389
     1.52615    0.693569  0.00416123
      1.5518    0.678623  0.00282341
     1.57745    0.677005  0.00748082
      1.6031    0.667751 0.000127546
     1.62875    0.679333  0.00370987
      1.6544    0.693454  0.00399114
     1.68005    0.708203  0.00611793
      1.7057     0.73188  0.00550976
     1.73135    0.757236   0.0087183
       1.757    0.782917  0.00552268
     1.78265    0.815872  0.00424403
      1.8083    0.858789 0.000463413
     1.83395    0.894517   0.0013239
      1.8596    0.940006 0.000230249
     1.88525    0.981732  0.00170342
      1.9109      1.0134   0.0100908
     1.93655     1.06288   0.0034037
      1.9622      1.0959  0.00915703
     1.98785     1.12511  0.00465579
      2.0135     1.16491  0.00620063
     2.03915     1.18396  0.00220766
      2.0648     1.20542  0.00329435
     2.09045     1.20919 3.57332e-05
      2.1161     1.21242 0.000223696
     2.14174     1.20431 0.000657752
     2.16739     1.19698   0.0013257
     2.19304      1.1699 0.000637795
     2.21869     1.14618  0.00162868
     2.24434     1.11854 0.000126371
     2.26999     1.09081 0.000506597
     2.29564     1.05759 0.000583909
     2.32129     1.02961  0.00169112
     2.34694     1.00524 0.000904726
     2.37259    0.983523 0.000168253
     2.39824     0.96452 0.000559309
     2.42389    0.946309  0.00429981
     2.44954    0.931808  0.00133539
     2.47519    0.919141  0.00160802
     2.50084    0.911279 0.000489036
     2.52649    0.895582  0.00261451
     2.55214    0.892892  0.00157918
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 4.86307e-05 2.29247e-05
    0.910562  0.00143671 0.000294262
    0.936212   0.0238327 0.000698983
    0.961861    0.167522  0.00416017
    0.987511     0.56554  0.00839789
     1.01316     1.21485  0.00702125
     1.03881     1.86396  0.00903211
     1.06446     2.34894  0.00653446
     1.09011     2.56914  0.00800315
     1.11576     2.54942  0.00852418
     1.14141     2.39997    0.013156
     1.16706     2.20963  0.00966386
     1.19271     1.97736  0.00549507
     1.21836     1.74683  0.00430672
     1.24401     1.54436  0.00629494
     1.26966      1.3949  0.00494986
     1.29531     1.23344  0.00273363
     1.32096     1.11885   0.0054101
     1.34661     1.01029   0.0045807
     1.37226     0.93731   0.0022731
     1.39791    0.860579  0.00245504
     1.42355    0.814337   0.0057648
      1.4492    0.762955  0.00505184
     1.47485    0.729394  0.00794276
      1.5005    0.703266  0.00338772
     1.52615    0.690241  0.00388316
      1.5518    0.675935  0.00289111
     1.57745    0.671873  0.00651384
      1.6031    0.666464  0.00105402
     1.62875    0.677929  0.00272607
      1.6544    0.693946  0.00269089
     1.68005    0.710772  0.00458645
      1.7057    0.731076  0.00373131
     1.73135      0.7574  0.00581375
       1.757    0.789398  0.00644626
     1.78265    0.821707  0.00554124
      1.8083    0.860589  0.00150211
     1.83395     0.89654  0.00187233
      1.8596    0.944456  0.00363678
     1.88525    0.984643  0.00263409
      1.9109      1.0197  0.00846976
     1.93655     1.06437  0.00257588
      1.9622     1.09938  0.00673592
     1.98785     1.13164  0.00617039
      2.0135     1.16906  0.00534806
     2.03915     1.18553   0.0019529
      2.0648     1.20524  0.00220114
     2.09045     1.21267  0.00283566
      2.1161     1.21208 0.000311917
     2.14174     1.20548  0.00105568
     2.16739      1.1923  0.00391783
     2.19304     1.16818  0.00146524
     2.21869     1.14418  0.00196419
     2.24434     1.11681  0.00141308
     2.26999     1.08867  0.00177949
     2.29564     1.05277   0.0039537
     2.32129     1.02771  0.00191391
     2.34694     1.00199  0.00272112
     2.37259    0.981716  0.00147956
     2.39824    0.957956  0.00537234
     2.42389    0.943684  0.00357883
     2.44954    0.930663  0.00129092
     2.47519    0.917645  0.00162525
     2.50084    0.909208  0.00172203
     2.52649    0.893899  0.00221916
     2.55214    0.890584  0.00215883
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  3.6473e-05 2.01612e-05
    0.910562  0.00137558 0.000226959
    0.936212   0.0248359  0.00101475
    0.961861    0.170028  0.00380056
    0.987511    0.569955  0.00736797
     1.01316     1.21487  0.00526596
     1.03881     1.86926  0.00818236
     1.06446     2.35302  0.00604117
     1.09011     2.56388  0.00753681
     1.11576     2.54613  0.00699966
     1.14141     2.40041  0.00987458
     1.16706     2.20271  0.00940467
     1.19271     1.97001  0.00758522
     1.21836     1.74692  0.00323099
     1.24401     1.54579  0.00488208
     1.26966     1.39263   0.0041992
     1.29531     1.23247  0.00221469
     1.32096     1.11766  0.00418593
     1.34661     1.01249  0.00393068
     1.37226    0.940751  0.00343284
     1.39791    0.862689  0.00259425
     1.42355    0.812993  0.00447763
      1.4492    0.765918  0.00457627
     1.47485    0.733456  0.00691821
      1.5005    0.706533   0.0038028
     1.52615    0.690938  0.00297416
      1.5518    0.675459  0.00220727
     1.57745     0.67321  0.00502073
      1.6031    0.667636    0.001286
     1.62875    0.677981  0.00204506
      1.6544    0.692523  0.00236439
     1.68005    0.710138  0.00348339
      1.7057     0.72689     0.00458
     1.73135    0.757273  0.00436171
       1.757    0.783528  0.00701527
     1.78265    0.819361  0.00462586
      1.8083    0.859619  0.00140523
     1.83395     0.89522  0.00181048
      1.8596    0.943395  0.00287806
     1.88525    0.983204  0.00233579
      1.9109     1.01958  0.00635313
     1.93655     1.06675   0.0028212
      1.9622     1.09962  0.00505622
     1.98785     1.13634  0.00616289
      2.0135     1.16982  0.00406441
     2.03915     1.18894  0.00329981
      2.0648     1.20282  0.00266601
     2.09045     1.21395  0.00239894
      2.1161     1.21308 0.000891118
     2.14174     1.20616 0.000982765
     2.16739     1.19073  0.00323777
     2.19304     1.16777  0.00115578
     2.21869     1.14262  0.00199472
     2.24434       1.116  0.00127487
     2.26999       1.087  0.00196714
     2.29564     1.05367    0.003065
     2.32129     1.02751  0.00144686
     2.34694     1.00291  0.00219319
     2.37259    0.981982  0.00113317
     2.39824    0.960459  0.00457562
     2.42389     0.94577  0.00323531
     2.44954    0.930097  0.00108534
     2.47519    0.917938  0.00124511
     2.50084    0.911994  0.00273663
     2.52649    0.894273  0.00169546
     2.55214    0.890406  0.00162645
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
