#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.571837    0.571837           0
           2    0.479876    0.525857    0.032513
           3    0.611952    0.554555   0.0319201
           4    0.620363    0.571007    0.027859
           5    0.580926    0.572991   0.0223577
           6    0.516809    0.563627   0.0204986
           7    0.534286    0.559436   0.0179937
           8    0.451215    0.545908   0.0201992
           9    0.478204    0.538385   0.0193049
          10    0.515181    0.536065   0.0175133
          11    0.435126    0.526889   0.0181668
          12    0.503227    0.524917   0.0167596
          13    0.545202    0.526477   0.0155429
          14    0.552583    0.528342   0.0145441
          15    0.518016    0.527654   0.0135908
          16    0.550131    0.529058   0.0128138
          17    0.576048    0.531823   0.0123545
          18    0.561238    0.533457   0.0117758
          19    0.550395    0.534348   0.0111897
          20    0.490373    0.532149   0.0108441
