#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1 5.63211e-09
           8         1.1         1.1           0
           9         1.1         1.1           0
          10         1.1         1.1 4.71216e-09
          11         1.1         1.1 4.49287e-09
          12         1.1         1.1 4.30159e-09
          13         1.1         1.1           0
          14         1.1         1.1           0
          15         1.1         1.1           0
          16         1.1         1.1           0
          17         1.1         1.1           0
          18         1.1         1.1 4.96705e-09
          19         1.1         1.1 4.83458e-09
          20         1.1         1.1 4.71216e-09
          21         1.1         1.1  4.5986e-09
          22         1.1         1.1 7.78188e-09
          23         1.1         1.1 7.61083e-09
          24         1.1         1.1 7.45058e-09
          25         1.1         1.1 7.30005e-09
          26         1.1         1.1 7.15829e-09
          27         1.1         1.1 7.02447e-09
          28         1.1         1.1 7.96501e-09
          29         1.1         1.1 7.82647e-09
          30         1.1         1.1 7.69493e-09
