#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.44394    -5.44394           0
           2    -5.47589    -5.45992   0.0112966
           3    -5.45293    -5.45759  0.00776781
           4    -5.44339    -5.45404   0.0065866
           5    -5.45274    -5.45378  0.00527438
           6    -5.46163    -5.45509  0.00455463
           7    -5.46217     -5.4561  0.00401466
           8    -5.47777    -5.45881  0.00433163
           9    -5.47676     -5.4608  0.00428518
          10    -5.46802    -5.46153  0.00391698
          11    -5.47729    -5.46296  0.00381396
          12    -5.47093    -5.46362  0.00355349
          13    -5.46229    -5.46352  0.00328163
          14    -5.45975    -5.46325  0.00305826
          15    -5.46266    -5.46321  0.00285463
          16    -5.46093    -5.46307  0.00267977
          17    -5.46156    -5.46298  0.00252361
          18    -5.45708    -5.46265  0.00240463
          19    -5.45905    -5.46246  0.00228554
          20    -5.47298    -5.46299  0.00223092
