# BLOCK	ACCEPTANCE
1	0.4242
2	0.4223
3	0.4323
4	0.4245
5	0.4313
6	0.4367
7	0.429
8	0.4318
9	0.4247
10	0.4354
11	0.421
12	0.4337
13	0.432
14	0.4275
15	0.4369
16	0.434
17	0.416
18	0.4301
19	0.4323
20	0.4248
21	0.4284
22	0.4323
23	0.4317
24	0.4221
25	0.427
26	0.4203
27	0.432
28	0.4274
29	0.4244
30	0.4288
31	0.4366
32	0.423
33	0.423
34	0.4321
35	0.4281
36	0.4299
37	0.4305
38	0.4337
39	0.4291
40	0.4281
41	0.4346
42	0.4325
43	0.4283
44	0.4372
45	0.4245
46	0.4256
47	0.4325
48	0.4354
49	0.4287
50	0.44
51	0.4337
52	0.4321
53	0.4335
54	0.4284
55	0.4249
56	0.4328
57	0.435
58	0.4339
59	0.4248
60	0.423
61	0.4142
62	0.4397
63	0.424
64	0.4216
65	0.4276
66	0.4371
67	0.4294
68	0.4189
69	0.4261
70	0.4299
71	0.4289
72	0.4299
73	0.4359
74	0.4175
75	0.4158
76	0.4296
77	0.4258
78	0.4231
79	0.4277
80	0.4266
81	0.4368
82	0.4308
83	0.4281
84	0.4264
85	0.4257
86	0.4238
87	0.4301
88	0.4262
89	0.4279
90	0.4289
91	0.4322
92	0.431
93	0.4347
94	0.4219
95	0.4339
96	0.4371
97	0.4324
98	0.4274
99	0.4225
100	0.4309
