# x	|psi(x)|^2
0.110387	1.47148
0.110387	1.47148
0.880515	1.35381
0.880515	1.35381
-0.76061	1.40192
-1.60223	0.753432
-1.76919	0.586047
-1.76919	0.586047
-1.10561	1.21749
1.12497	1.20299
0.813347	1.38278
-1.00259	1.28739
-1.16824	1.16911
-0.677512	1.42612
1.01256	1.28117
1.80296	0.553694
1.0398	1.26357
1.0398	1.26357
1.03419	1.26728
1.03419	1.26728
0.0282827	1.47152
0.0282827	1.47152
-0.322568	1.46894
-0.322568	1.46894
-0.322568	1.46894
-0.322568	1.46894
-0.265051	1.47033
-0.265051	1.47033
-0.265051	1.47033
-0.265051	1.47033
-1.28777	1.06599
0.757886	1.40283
0.757886	1.40283
0.303455	1.46949
0.303455	1.46949
-0.650808	1.43246
-0.650808	1.43246
-0.650808	1.43246
-2.00189	0.379983
-2.00189	0.379983
-2.00189	0.379983
-2.00189	0.379983
-1.40697	0.952037
0.437236	1.46301
-0.171264	1.47131
1.20747	1.13673
1.20747	1.13673
-0.361332	1.46748
-0.361332	1.46748
-0.361332	1.46748
0.450069	1.462
0.450069	1.462
-0.645396	1.43366
-0.645396	1.43366
-0.645396	1.43366
1.03069	1.26956
-0.788735	1.39209
0.538273	1.45252
-1.47941	0.87926
-1.64159	0.713201
-1.64159	0.713201
0.690781	1.42272
0.690781	1.42272
1.02342	1.27427
1.02342	1.27427
1.02342	1.27427
1.02342	1.27427
1.02342	1.27427
1.02342	1.27427
0.588749	1.44476
-0.512433	1.45579
-1.80935	0.547648
-2.09188	0.312874
-1.20214	1.14123
-1.20214	1.14123
-1.98983	0.389567
-0.757802	1.40286
0.855498	1.36521
-1.73994	0.614578
0.22041	1.47095
-0.981043	1.30042
-0.979624	1.30126
-2.32393	0.176626
0.138456	1.47143
0.806317	1.38551
0.806317	1.38551
0.639991	1.43484
0.639991	1.43484
-0.11646	1.47147
1.8801	0.482605
1.26784	1.08406
1.26784	1.08406
1.26784	1.08406
-0.684742	1.42428
-0.684742	1.42428
-0.684742	1.42428
1.62795	0.727106
1.10004	1.22158
-0.389311	1.46611
1.12449	1.20335
-1.40988	0.94916
0.484582	1.45884
