# BLOCK	ACCEPTANCE
1	0.5627
2	0.5609
3	0.566
4	0.5678
5	0.5548
6	0.5665
7	0.5666
8	0.5619
9	0.5635
10	0.5602
11	0.5635
12	0.5607
13	0.5667
14	0.5643
15	0.5654
16	0.5611
17	0.5664
18	0.5604
19	0.5693
20	0.5616
21	0.5632
22	0.5629
23	0.5608
24	0.5663
25	0.5679
26	0.5592
27	0.565
28	0.5703
29	0.5606
30	0.5626
31	0.5597
32	0.563
33	0.5613
34	0.5623
35	0.5691
36	0.5689
37	0.5648
38	0.5628
39	0.5639
40	0.5602
41	0.5626
42	0.5684
43	0.5661
44	0.5582
45	0.5635
46	0.5652
47	0.5744
48	0.5493
49	0.5553
50	0.5658
51	0.5571
52	0.5618
53	0.5677
54	0.5647
55	0.5583
56	0.5586
57	0.5496
58	0.5673
59	0.5611
60	0.5614
61	0.5582
62	0.5678
63	0.566
64	0.571
65	0.5612
66	0.5616
67	0.5682
68	0.5601
69	0.5606
70	0.5598
71	0.5659
72	0.5607
73	0.5622
74	0.5635
75	0.5577
76	0.5663
77	0.5586
78	0.5589
79	0.5679
80	0.5692
81	0.5639
82	0.5752
83	0.5578
84	0.564
85	0.5579
86	0.5623
87	0.5734
88	0.5668
89	0.5598
90	0.559
91	0.5649
92	0.5694
93	0.5622
94	0.5647
95	0.5605
96	0.5577
97	0.5647
98	0.5596
99	0.5639
100	0.5549
