# x	|psi(x)|^2
-0.304158	2.76281
0.235828	3.20219
0.235828	3.20219
-0.177415	3.5268
-0.177415	3.5268
-0.295128	2.82326
0.118029	3.7832
0.118029	3.7832
0.118029	3.7832
0.118029	3.7832
0.118029	3.7832
0.109195	3.8137
0.109195	3.8137
0.109195	3.8137
0.60455	0.927159
0.60455	0.927159
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
-0.0677229	3.92729
0.206034	3.37534
-0.741058	0.444692
-0.137722	3.70775
0.722951	0.494434
-0.373837	2.28708
0.643622	0.762842
0.643622	0.762842
0.643622	0.762842
0.00412706	3.99973
0.00412706	3.99973
0.322734	2.63706
-0.335295	2.5513
-0.335295	2.5513
0.433408	1.88688
0.433408	1.88688
0.433408	1.88688
-0.0708378	3.92051
0.13944	3.7007
0.13944	3.7007
0.13944	3.7007
0.0784554	3.90272
-0.362666	2.36361
-0.0657978	3.93133
-0.572253	1.0794
0.436588	1.86612
0.69391	0.582895
0.132188	3.72997
-0.0259069	3.98928
-0.0259069	3.98928
-0.165523	3.5848
-0.165523	3.5848
-0.165523	3.5848
-0.165523	3.5848
-0.427008	1.9289
-0.532323	1.28765
-0.431635	1.89849
0.437269	1.86167
0.124308	3.76025
0.124308	3.76025
0.0180222	3.99481
0.0180222	3.99481
-0.645271	0.756385
-0.645271	0.756385
-0.645271	0.756385
-0.408839	2.04971
-0.228917	3.24359
-0.422376	1.9595
-0.422376	1.9595
-0.376834	2.26659
-0.758036	0.401647
-0.758036	0.401647
-0.65592	0.715602
0.0491598	3.96152
-0.0755704	3.90966
0.143529	3.68361
0.235507	3.20413
0.126106	3.75348
0.126106	3.75348
0.126106	3.75348
0.126106	3.75348
0.126106	3.75348
0.126106	3.75348
0.126106	3.75348
0.594096	0.974816
0.594096	0.974816
-0.0766768	3.90703
0.79051	0.328463
0.79051	0.328463
0.658231	0.706962
0.543104	1.2293
-0.0343835	3.98113
-0.0343835	3.98113
-0.166416	3.58055
0.124422	3.75982
0.124422	3.75982
0.124422	3.75982
-0.0342813	3.98124
-0.170133	3.56268
-0.170133	3.56268
0.00347934	3.99981
-0.00687109	3.99924
0.240293	3.17508
0.240293	3.17508
0.215971	3.31919
0.215971	3.31919
-0.28175	2.91177
-0.504009	1.44802
-0.504009	1.44802
0.000441161	4
0.000441161	4
0.989031	0.0799434
0.0578685	3.94678
0.0578685	3.94678
0.0578685	3.94678
0.021396	3.99268
0.021396	3.99268
0.021396	3.99268
-0.194858	3.43637
-0.385514	2.20739
-0.385514	2.20739
-0.385514	2.20739
-0.0309504	3.9847
-0.0309504	3.9847
0.196986	3.42493
0.196986	3.42493
0.196986	3.42493
0.196986	3.42493
0.196986	3.42493
-0.266983	3.0077
-0.266983	3.0077
-0.0584766	3.94566
-0.713251	0.522771
0.182184	3.50268
0.854055	0.216244
0.820336	0.271034
0.820336	0.271034
0.0428364	3.97075
0.0428364	3.97075
0.0428364	3.97075
0.0428364	3.97075
0.0428364	3.97075
0.608936	0.90763
-0.302194	2.77599
0.499848	1.47241
0.499848	1.47241
-0.380417	2.24213
-0.380417	2.24213
0.181596	3.50568
0.181596	3.50568
-0.000549453	4
-0.000549453	4
-0.0849008	3.88632
-0.0849008	3.88632
-0.0849008	3.88632
-0.0849008	3.88632
-0.0849008	3.88632
0.135511	3.71672
-0.803832	0.301711
-0.0124488	3.99752
-0.123648	3.76271
-0.123648	3.76271
-0.369182	2.31894
-0.369182	2.31894
-0.369182	2.31894
-0.3135	2.69977
-0.380565	2.24112
-0.380565	2.24112
-0.606511	0.918393
0.146511	3.67088
0.71863	0.506909
0.889052	0.169423
-0.290323	2.85521
-0.290323	2.85521
-0.290323	2.85521
-0.290323	2.85521
0.207743	3.3658
0.207743	3.3658
0.170029	3.56318
0.170029	3.56318
0.170029	3.56318
0.170029	3.56318
0.170029	3.56318
0.170029	3.56318
-0.430716	1.90452
-0.430716	1.90452
0.0612495	3.94042
0.0612495	3.94042
0.0612495	3.94042
0.0612495	3.94042
0.0612495	3.94042
0.0612495	3.94042
-0.612252	0.893049
0.0255563	3.98956
-0.208019	3.36426
-0.208019	3.36426
-0.208019	3.36426
0.27531	2.95385
0.455594	1.74374
0.455594	1.74374
-0.193838	3.44183
0.136614	3.71226
0.136614	3.71226
0.136614	3.71226
0.136614	3.71226
0.213566	3.33293
-0.118837	3.78031
-0.118837	3.78031
-0.118837	3.78031
-0.00608591	3.99941
0.0992237	3.84554
0.0992237	3.84554
-0.159691	3.6121
-0.159691	3.6121
-0.159691	3.6121
-0.159691	3.6121
0.457307	1.73286
-0.132125	3.73022
-0.132125	3.73022
-0.132125	3.73022
-0.00434516	3.9997
-0.264746	3.02204
-0.1866	3.47994
0.0156865	3.99606
0.0156865	3.99606
0.0156865	3.99606
0.205119	3.38042
0.118639	3.78102
-0.45094	1.77341
-0.45094	1.77341
-0.0282339	3.98727
-0.0282339	3.98727
-0.0282339	3.98727
-0.0282339	3.98727
-0.0282339	3.98727
0.310841	2.71776
0.310841	2.71776
0.310841	2.71776
0.310841	2.71776
-0.372452	2.29656
-0.372452	2.29656
-0.26445	3.02394
-0.26445	3.02394
-0.26445	3.02394
-0.26445	3.02394
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
-0.426946	1.92931
0.842484	0.233909
0.842484	0.233909
0.842484	0.233909
0.842484	0.233909
0.683172	0.618411
0.346497	2.47454
0.346497	2.47454
0.609948	0.903164
-0.215804	3.32014
0.324523	2.62488
-0.430045	1.90892
-0.430045	1.90892
-0.430045	1.90892
-0.430045	1.90892
-0.715472	0.516176
-0.715472	0.516176
-0.715472	0.516176
-0.715472	0.516176
-0.715472	0.516176
0.310464	2.7203
0.310464	2.7203
0.310464	2.7203
0.310464	2.7203
0.211562	3.34431
-0.111125	3.80722
-0.111125	3.80722
-0.111125	3.80722
-0.111125	3.80722
0.488209	1.54172
0.823094	0.266164
0.823094	0.266164
0.823094	0.266164
0.327758	2.60281
0.327758	2.60281
0.327758	2.60281
0.389381	2.18109
-0.381471	2.23494
0.254038	3.08994
-0.322841	2.63633
-0.322841	2.63633
-0.322841	2.63633
-0.322841	2.63633
0.104165	3.83011
0.104165	3.83011
0.104165	3.83011
0.104165	3.83011
-0.39526	2.14122
-0.213264	3.33465
0.281255	2.91502
0.281255	2.91502
0.281255	2.91502
0.281255	2.91502
0.281255	2.91502
0.281255	2.91502
0.189521	3.46468
0.335035	2.55308
0.335035	2.55308
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.00989534	3.99843
-0.281952	2.91044
-0.281952	2.91044
-0.281952	2.91044
-0.208816	3.35979
-0.208816	3.35979
-0.208816	3.35979
-0.208816	3.35979
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
-0.0940553	3.86093
0.415891	2.00257
0.415891	2.00257
0.415891	2.00257
0.2691	2.99408
0.2691	2.99408
-0.282095	2.90951
-0.282095	2.90951
-0.282095	2.90951
-0.282095	2.90951
0.0171581	3.99529
-0.729162	0.476917
-0.729162	0.476917
-0.569037	1.09536
-0.718309	0.507845
-0.718309	0.507845
0.0236504	3.99106
0.0236504	3.99106
0.0236504	3.99106
0.0236504	3.99106
0.0236504	3.99106
0.0236504	3.99106
0.0236504	3.99106
0.0236504	3.99106
0.105991	3.82423
-0.306176	2.74922
-0.428964	1.91603
-0.428964	1.91603
0.597555	0.958876
0.597555	0.958876
-0.412571	2.02473
-0.412571	2.02473
-0.223685	3.27447
-0.223685	3.27447
-0.223685	3.27447
-0.313098	2.70249
0.439935	1.84434
-0.0949469	3.85833
-0.389258	2.18192
-0.389258	2.18192
-0.389258	2.18192
-0.389258	2.18192
-0.389258	2.18192
-0.0501756	3.95992
-0.0501756	3.95992
-0.0501756	3.95992
0.132419	3.72905
0.132419	3.72905
0.132419	3.72905
-0.307879	2.73775
0.269129	2.99389
0.269129	2.99389
-0.144258	3.68052
-0.144258	3.68052
-0.144258	3.68052
-0.144258	3.68052
0.334047	2.55984
-0.212794	3.33732
-0.212794	3.33732
-0.212794	3.33732
-0.212794	3.33732
-0.212794	3.33732
-0.212794	3.33732
-0.242312	3.16272
-0.242312	3.16272
0.0602197	3.9424
0.0602197	3.9424
0.0602197	3.9424
0.0602197	3.9424
0.0602197	3.9424
-0.00580368	3.99946
-0.0734081	3.9147
-0.0734081	3.9147
-0.0734081	3.9147
0.19127	3.45547
-0.0626667	3.93766
-0.664055	0.685516
-0.251009	3.10891
-0.251009	3.10891
-0.251009	3.10891
0.37827	2.25679
0.37827	2.25679
0.521653	1.3469
-0.00217333	3.99992
-0.00217333	3.99992
0.0337118	3.98186
-0.391232	2.16852
-0.391232	2.16852
-0.391232	2.16852
-0.391232	2.16852
-0.391232	2.16852
-0.195351	3.43373
-0.195351	3.43373
-0.0952897	3.85732
-0.0952897	3.85732
-0.0952897	3.85732
-0.0952897	3.85732
-0.0952897	3.85732
-0.10188	3.83733
-0.215824	3.32003
-0.215824	3.32003
0.7125	0.525014
-0.00903906	3.99869
-0.00903906	3.99869
-0.00903906	3.99869
-0.00903906	3.99869
0.0849796	3.88611
0.0849796	3.88611
-0.643874	0.761856
-0.643874	0.761856
-0.643874	0.761856
0.268716	2.99655
0.473597	1.63088
0.473597	1.63088
0.473597	1.63088
0.473597	1.63088
0.341247	2.51053
0.341247	2.51053
0.635266	0.796157
0.635266	0.796157
-0.262531	3.03619
-0.262531	3.03619
0.194201	3.43989
-0.14213	3.6895
-0.14213	3.6895
-0.14213	3.6895
-0.0813592	3.89548
-0.327411	2.60518
0.66666	0.676076
0.66666	0.676076
-0.183714	3.49485
-0.183714	3.49485
-0.183714	3.49485
-0.183714	3.49485
-0.183714	3.49485
-0.183714	3.49485
-0.564994	1.11563
-0.313928	2.69687
-0.313928	2.69687
-0.153257	3.64131
-0.582624	1.0289
-0.763163	0.38931
-0.229473	3.24029
-0.0448356	3.96797
-0.0448356	3.96797
-0.0448356	3.96797
-0.0448356	3.96797
-0.0448356	3.96797
-0.0448356	3.96797
-0.0448356	3.96797
0.0596306	3.94351
-0.461624	1.70558
-0.312706	2.70514
0.346399	2.47521
0.346399	2.47521
0.346399	2.47521
0.346399	2.47521
0.563573	1.12281
0.724629	0.489655
0.725775	0.486409
0.725775	0.486409
-0.1004	3.84193
-0.1004	3.84193
-0.1004	3.84193
0.227568	3.2516
-0.0202406	3.99345
-0.0202406	3.99345
-0.0202406	3.99345
-0.0202406	3.99345
-0.0202406	3.99345
0.154117	3.63746
0.154117	3.63746
0.154117	3.63746
0.154117	3.63746
-0.820002	0.271628
-0.271205	2.98048
0.611306	0.897192
-0.274738	2.95758
0.82298	0.266364
0.855604	0.213966
-0.0786063	3.90235
0.177743	3.52516
0.177743	3.52516
0.177743	3.52516
-0.0579615	3.94661
-0.0579615	3.94661
-0.0579615	3.94661
-0.0579615	3.94661
-0.0579615	3.94661
-0.0579615	3.94661
-0.042021	3.97185
0.506405	1.43406
0.506405	1.43406
-0.365092	2.34697
0.65855	0.705776
0.119627	3.77746
0.119627	3.77746
0.119627	3.77746
0.262392	3.03708
0.691834	0.589642
0.396564	2.13239
-0.496426	1.49263
-0.902826	0.153496
0.0208323	3.99306
0.29009	2.85676
0.0107713	3.99814
0.0107713	3.99814
0.0107713	3.99814
-0.393463	2.15339
-0.393463	2.15339
-0.492112	1.51831
-0.492112	1.51831
-0.492112	1.51831
-0.492112	1.51831
-0.427149	1.92797
-0.427149	1.92797
-0.427149	1.92797
0.0520645	3.95686
0.0520645	3.95686
-0.0663872	3.9301
-0.0663872	3.9301
0.127273	3.74904
0.258842	3.05964
0.386239	2.20245
-0.685759	0.609712
-0.685759	0.609712
0.523937	1.3341
0.449908	1.78002
0.0065947	3.9993
0.0065947	3.9993
0.0065947	3.9993
0.0065947	3.9993
-0.124379	3.75998
-0.167655	3.57463
-0.167655	3.57463
-0.167655	3.57463
-0.167655	3.57463
0.0507897	3.95894
-0.742404	0.441155
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
0.0552068	3.95153
-0.583053	1.02684
-0.583053	1.02684
-0.583053	1.02684
-0.583053	1.02684
0.188387	3.47063
0.188387	3.47063
0.188387	3.47063
0.188387	3.47063
0.188387	3.47063
0.188387	3.47063
-0.0503137	3.9597
-0.246526	3.13677
-0.246526	3.13677
-0.246526	3.13677
-0.246526	3.13677
0.195528	3.43278
0.195528	3.43278
0.321688	2.64418
0.321688	2.64418
0.321688	2.64418
0.321688	2.64418
0.321688	2.64418
-0.323045	2.63495
-0.323045	2.63495
-0.323045	2.63495
-0.323045	2.63495
0.360776	2.37657
-0.364843	2.34868
-0.515641	1.38092
-0.515641	1.38092
0.169376	3.56635
-0.474127	1.6276
-0.474127	1.6276
0.624906	0.838838
0.385316	2.20874
0.385316	2.20874
0.385316	2.20874
0.241099	3.17015
0.241099	3.17015
0.241099	3.17015
0.241099	3.17015
0.241099	3.17015
0.241099	3.17015
0.130299	3.73737
0.130299	3.73737
-0.590101	0.993439
-0.34615	2.47692
-0.000728351	3.99999
-0.000728351	3.99999
0.0845442	3.88726
-0.486091	1.5545
0.624949	0.838658
0.624949	0.838658
0.624949	0.838658
0.398516	2.11919
0.398516	2.11919
0.398516	2.11919
0.424682	1.94425
0.424682	1.94425
-0.211543	3.34442
-0.211543	3.34442
-0.391298	2.16807
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.243572	3.15499
0.375633	2.2748
0.365528	2.34398
0.365528	2.34398
0.365528	2.34398
0.365528	2.34398
0.365528	2.34398
0.140309	3.6971
0.140309	3.6971
-0.299673	2.79289
-0.299673	2.79289
-0.265419	3.01773
-0.265419	3.01773
-0.265419	3.01773
-0.265419	3.01773
-0.290446	2.85439
-0.290446	2.85439
-0.290446	2.85439
-0.220852	3.291
-0.220852	3.291
-0.220852	3.291
0.21607	3.31862
0.21607	3.31862
0.21607	3.31862
0.21607	3.31862
0.21607	3.31862
0.417019	1.99506
0.417019	1.99506
-0.114059	3.79717
-0.114059	3.79717
0.332244	2.57217
0.332244	2.57217
-0.0999165	3.84341
-0.0999165	3.84341
0.514782	1.38582
0.514782	1.38582
0.514782	1.38582
0.514782	1.38582
0.371459	2.30336
0.371459	2.30336
0.371459	2.30336
-0.694199	0.581959
-0.694199	0.581959
0.187457	3.47548
0.187457	3.47548
0.187457	3.47548
0.258393	3.06248
0.258393	3.06248
0.258393	3.06248
0.258393	3.06248
0.258393	3.06248
0.258393	3.06248
0.258393	3.06248
0.26472	3.02221
0.26472	3.02221
0.553658	1.17368
-0.641585	0.770873
-0.354744	2.41795
-0.354744	2.41795
-0.354744	2.41795
-0.354744	2.41795
0.584515	1.01986
-0.145257	3.67626
-0.145257	3.67626
0.506552	1.4332
0.506552	1.4332
0.506552	1.4332
-0.694632	0.580562
0.10862	3.81561
0.10862	3.81561
0.10862	3.81561
0.104174	3.83008
0.104174	3.83008
0.104174	3.83008
-0.0982124	3.84861
-0.0982124	3.84861
-0.0982124	3.84861
0.267502	3.00436
0.267502	3.00436
0.267502	3.00436
0.267502	3.00436
-0.867549	0.197056
-0.673862	0.650465
0.162874	3.5973
0.162874	3.5973
0.162874	3.5973
0.162874	3.5973
0.103752	3.83142
0.609557	0.904886
0.223774	3.27394
0.223774	3.27394
-0.34337	2.49598
-0.34337	2.49598
-0.34337	2.49598
-0.0360976	3.97921
-0.113654	3.79857
-0.113654	3.79857
-0.113654	3.79857
0.286933	2.87764
0.286933	2.87764
0.286933	2.87764
0.548664	1.19981
0.482757	1.57472
0.482757	1.57472
0.135622	3.71627
0.135622	3.71627
0.135622	3.71627
-0.613865	0.886012
-0.613865	0.886012
-0.482434	1.57668
-0.482434	1.57668
-0.732985	0.466371
-0.860957	0.206245
0.356802	2.40383
0.542952	1.23011
0.542952	1.23011
-0.341742	2.50714
-0.341742	2.50714
-0.341742	2.50714
