# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000825347           0
    0.936212   0.0230387           0
    0.961861    0.158578           0
    0.987511    0.595851           0
     1.01316     1.25668           0
     1.03881     1.91185           0
     1.06446     2.30942           0
     1.09011     2.57293           0
     1.11576     2.50607           0
     1.14141     2.31358           0
     1.16706     2.10196           0
     1.19271     1.93248           0
     1.21836     1.76792           0
     1.24401     1.54656           0
     1.26966     1.38572           0
     1.29531     1.26548           0
     1.32096     1.17141           0
     1.34661     1.06384           0
     1.37226    0.966894           0
     1.39791    0.878763           0
     1.42355    0.805523           0
      1.4492    0.783863           0
     1.47485    0.721381           0
      1.5005    0.703656           0
     1.52615     0.70384           0
      1.5518    0.676542           0
     1.57745    0.671808           0
      1.6031    0.668379           0
     1.62875    0.682623           0
      1.6544    0.672108           0
     1.68005    0.728229           0
      1.7057    0.754887           0
     1.73135    0.787535           0
       1.757    0.796477           0
     1.78265      0.8036           0
      1.8083     0.82228           0
     1.83395    0.860723           0
      1.8596     0.93384           0
     1.88525    0.964443           0
      1.9109     1.03809           0
     1.93655     1.04652           0
      1.9622     1.07867           0
     1.98785     1.12258           0
      2.0135     1.15184           0
     2.03915     1.19168           0
      2.0648      1.2301           0
     2.09045     1.24987           0
      2.1161     1.21393           0
     2.14174     1.20672           0
     2.16739     1.18623           0
     2.19304     1.18215           0
     2.21869     1.14515           0
     2.24434      1.1382           0
     2.26999     1.07325           0
     2.29564     1.05216           0
     2.32129     1.04221           0
     2.34694     1.00505           0
     2.37259    0.962046           0
     2.39824    0.965579           0
     2.42389    0.933454           0
     2.44954    0.918943           0
     2.47519    0.899428           0
     2.50084    0.914169           0
     2.52649    0.915183           0
     2.55214    0.897679           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000573158 0.000178325
    0.936212    0.022714 0.000229664
    0.961861    0.174411   0.0111958
    0.987511    0.607979  0.00857589
     1.01316     1.25907  0.00169233
     1.03881     1.92049  0.00610938
     1.06446     2.36459   0.0390095
     1.09011     2.55531   0.0124588
     1.11576     2.53369   0.0195284
     1.14141     2.34631   0.0231379
     1.16706     2.12265   0.0146261
     1.19271     1.92685  0.00397993
     1.21836     1.75195    0.011289
     1.24401     1.51255   0.0240491
     1.26966     1.35242   0.0235435
     1.29531     1.25533  0.00717432
     1.32096     1.12916   0.0298722
     1.34661     1.03734   0.0187415
     1.37226     0.94726   0.0138828
     1.39791    0.877572 0.000842709
     1.42355    0.812506  0.00493737
      1.4492    0.789746  0.00415966
     1.47485    0.737512   0.0114065
      1.5005    0.713759  0.00714369
     1.52615    0.695898  0.00561597
      1.5518    0.676172 0.000261628
     1.57745    0.681486  0.00684292
      1.6031    0.676431  0.00569367
     1.62875    0.678732  0.00275153
      1.6544    0.674815  0.00191422
     1.68005    0.710197   0.0127507
      1.7057    0.740817  0.00994905
     1.73135    0.777032   0.0074267
       1.757    0.794531  0.00137643
     1.78265    0.823613   0.0141509
      1.8083    0.857325   0.0247806
     1.83395    0.882477   0.0153821
      1.8596    0.936798  0.00209112
     1.88525     0.98074   0.0115238
      1.9109     1.04324   0.0036434
     1.93655     1.06051  0.00988777
      1.9622      1.0929   0.0100609
     1.98785     1.13316  0.00747828
      2.0135     1.16324  0.00806403
     2.03915     1.19225 0.000403954
      2.0648     1.21851  0.00819159
     2.09045     1.23415    0.011113
      2.1161     1.18943   0.0173292
     2.14174     1.18329   0.0165686
     2.16739     1.17018   0.0113446
     2.19304     1.14691   0.0249199
     2.21869     1.11545   0.0210039
     2.24434     1.11445   0.0167893
     2.26999     1.06459  0.00612201
     2.29564     1.05964  0.00529213
     2.32129     1.04901  0.00480596
     2.34694     1.01834  0.00940067
     2.37259    0.974527  0.00882524
     2.39824    0.966979 0.000990067
     2.42389    0.940655  0.00509223
     2.44954     0.92658  0.00539991
     2.47519    0.912902   0.0095275
     2.50084    0.908639  0.00391022
     2.52649    0.906924  0.00584002
     2.55214    0.902619   0.0034925
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000412673 0.000176927
    0.936212   0.0212199  0.00122946
    0.961861    0.174336   0.0074641
    0.987511    0.599201  0.00916791
     1.01316     1.25799  0.00143198
     1.03881     1.89233   0.0233494
     1.06446     2.37537   0.0274556
     1.09011      2.5598  0.00907873
     1.11576     2.52875   0.0136283
     1.14141     2.33409   0.0183687
     1.16706     2.12056  0.00989897
     1.19271      1.9335  0.00604817
     1.21836     1.75754  0.00879869
     1.24401     1.54466   0.0307298
     1.26966     1.35396   0.0157459
     1.29531      1.2424   0.0115904
     1.32096     1.12265   0.0206126
     1.34661     1.04255   0.0131995
     1.37226    0.951171  0.00979059
     1.39791    0.879615  0.00176055
     1.42355    0.812984  0.00331462
      1.4492    0.787501   0.0033239
     1.47485    0.748161   0.0115508
      1.5005    0.726459   0.0114108
     1.52615    0.698981  0.00451168
      1.5518    0.685355  0.00750004
     1.57745     0.67579  0.00651472
      1.6031    0.675219  0.00392268
     1.62875    0.670696   0.0068132
      1.6544    0.674689  0.00128031
     1.68005    0.714091  0.00907567
      1.7057    0.743819   0.0070712
     1.73135    0.773362  0.00578716
       1.757    0.781572   0.0106208
     1.78265    0.812952    0.012836
      1.8083    0.844329   0.0196348
     1.83395    0.872557   0.0130675
      1.8596    0.931043  0.00490093
     1.88525    0.977222  0.00820206
      1.9109     1.03773  0.00511478
     1.93655     1.06835  0.00918893
      1.9622     1.10192  0.00996101
     1.98785     1.12388  0.00906984
      2.0135     1.15877  0.00650102
     2.03915     1.18508  0.00585786
      2.0648     1.20901  0.00948862
     2.09045     1.23165  0.00768444
      2.1161     1.20703    0.018438
     2.14174     1.19107   0.0127414
     2.16739     1.17353  0.00804294
     2.19304     1.16783   0.0238294
     2.21869     1.13009   0.0184108
     2.24434     1.11776   0.0115144
     2.26999     1.07149  0.00695643
     2.29564     1.05789  0.00380689
     2.32129     1.04247  0.00622576
     2.34694     1.01907  0.00629546
     2.37259    0.974915  0.00589201
     2.39824    0.972521  0.00457306
     2.42389    0.947133   0.0062845
     2.44954     0.93101  0.00510321
     2.47519    0.927561   0.0135498
     2.50084     0.91418  0.00522192
     2.52649    0.903095  0.00499301
     2.55214    0.895101  0.00656475
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562 0.000699252 0.000281431
    0.936212   0.0219669  0.00112641
    0.961861    0.172773  0.00575951
    0.987511    0.591902  0.00934028
     1.01316     1.26061  0.00251543
     1.03881     1.88956   0.0176758
     1.06446     2.35997   0.0245361
     1.09011     2.56359   0.0075557
     1.11576     2.54365   0.0164608
     1.14141     2.36332   0.0288214
     1.16706     2.14565   0.0229617
     1.19271     1.92963   0.0056427
     1.21836     1.75037  0.00905897
     1.24401     1.54724   0.0231554
     1.26966     1.36943   0.0178544
     1.29531      1.2405  0.00884791
     1.32096       1.109   0.0194595
     1.34661     1.01743   0.0239071
     1.37226    0.945399  0.00888298
     1.39791    0.870836  0.00771696
     1.42355    0.804086  0.00809704
      1.4492    0.775349   0.0108153
     1.47485    0.746967  0.00872462
      1.5005    0.720519  0.00998518
     1.52615    0.692421  0.00661249
      1.5518    0.680824  0.00685855
     1.57745    0.675406  0.00489734
      1.6031    0.674504  0.00300634
     1.62875    0.681991   0.0110363
      1.6544    0.683945   0.0080733
     1.68005    0.709806  0.00775239
      1.7057    0.746217  0.00569552
     1.73135    0.773721  0.00435149
       1.757    0.785556  0.00868075
     1.78265     0.81684   0.0101988
      1.8083    0.848862   0.0152404
     1.83395     0.87779   0.0107979
      1.8596    0.934107  0.00453343
     1.88525    0.971995  0.00763774
      1.9109     1.03009  0.00764521
     1.93655     1.06577  0.00724411
      1.9622     1.10555  0.00810406
     1.98785     1.13715   0.0133536
      2.0135     1.15772   0.0049588
     2.03915     1.18736  0.00481748
      2.0648     1.21379  0.00823374
     2.09045      1.2327  0.00583406
      2.1161     1.20385   0.0140995
     2.14174       1.193  0.00970091
     2.16739     1.17517  0.00619728
     2.19304     1.16233   0.0184969
     2.21869      1.1396   0.0160758
     2.24434     1.11695  0.00866415
     2.26999     1.08241   0.0107958
     2.29564      1.0583  0.00287716
     2.32129     1.04089  0.00486628
     2.34694     1.01013  0.00907392
     2.37259    0.974887  0.00441907
     2.39824    0.968296  0.00501509
     2.42389     0.94009  0.00770788
     2.44954    0.921819  0.00883207
     2.47519    0.921722   0.0113511
     2.50084    0.914904  0.00396629
     2.52649    0.905236  0.00417849
     2.55214    0.891556  0.00580229
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
