#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.48809     1.48809           0
           2     1.68425     1.58617   0.0693553
           3     1.47685     1.54973   0.0549824
           4     1.53574     1.54623   0.0413478
           5     1.49024     1.53503   0.0345614
           6     1.63076     1.55099   0.0322745
           7     1.47879     1.54067   0.0292657
           8     1.45359     1.52979   0.0275576
           9     1.49398     1.52581   0.0247812
          10     1.47601     1.52083    0.022798
          11      1.5611     1.52449   0.0210174
          12     1.59542      1.5304   0.0200799
          13     1.51494     1.52921   0.0185705
          14     1.43465     1.52246   0.0184317
          15     1.59183     1.52708   0.0177736
          16     1.48768     1.52462   0.0168325
          17     1.46928     1.52136   0.0161542
          18     1.45603     1.51773   0.0156592
          19     1.60232     1.52219   0.0154549
          20     1.58379     1.52527    0.014986
