#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10671     1.10671           0
           2     1.08735     1.09703   0.0068446
           3     1.10981     1.10129  0.00573856
           4     1.10861     1.10312  0.00458645
           5     1.10389     1.10327  0.00367171
           6     1.10599     1.10373  0.00308761
           7      1.1149     1.10532  0.00303122
           8     1.11792      1.1069  0.00303367
           9     1.10563     1.10676  0.00269987
          10     1.12514     1.10859  0.00299105
          11      1.1003     1.10784  0.00281267
          12     1.10301     1.10744  0.00260698
          13     1.10603     1.10733   0.0024087
          14     1.11547     1.10791  0.00230575
          15     1.09903     1.10732   0.0022268
          16     1.11384     1.10773  0.00212462
          17     1.11355     1.10807  0.00202705
          18     1.11722     1.10858  0.00197723
          19     1.10747     1.10852  0.00187402
          20     1.10685     1.10844  0.00178217
