T  	 	 mu 	 	 sigma 	 	 H 	 	 err
2	 	0.623536	 	0.989428	 	 -0.108938	 	0.0178498
1.98	 	0.789538	 	0.852723	 	 -0.208914	 	0.0119308
1.9602	 	0.43095	 	1.11714	 	 -0.0657528	 	0.0176373
1.9406	 	0.803301	 	0.820144	 	 -0.265032	 	0.00991451
1.92119	 	0.73346	 	0.54834	 	 -0.382145	 	0.00357532
1.90198	 	0.922165	 	0.49508	 	 -0.202326	 	0.00588002
1.88296	 	1.0422	 	0.550331	 	 -0.177218	 	0.00438235
1.86413	 	0.15265	 	0.538998	 	 0.466692	 	0.00893856
1.84549	 	0.93797	 	0.67832	 	 -0.335182	 	0.00634744
1.82703	 	0.362824	 	1.62459	 	 2.29782	 	0.0953949
1.80876	 	0.360624	 	1.06732	 	 -0.182254	 	0.0128713
1.79068	 	0.560194	 	0.863928	 	 -0.277984	 	0.00873013
1.77277	 	1.0855	 	1.09716	 	 1.60587	 	0.0546254
1.75504	 	0.514239	 	1.11965	 	 -0.0415249	 	0.0189664
1.73749	 	0.920393	 	0.542207	 	 -0.320701	 	0.00423668
1.72012	 	0.763003	 	0.563049	 	 -0.416567	 	0.00306177
1.70292	 	1.45931	 	0.288451	 	 2.59958	 	0.0244441
1.68589	 	0.774213	 	0.433563	 	 0.0189596	 	0.0102338
1.66903	 	0.241552	 	0.821076	 	 -0.166438	 	0.0051141
1.65234	 	0.785144	 	1.75452	 	 5.73455	 	0.185958
1.63581	 	1.16291	 	0.963102	 	 1.44191	 	0.0456319
1.61946	 	0.0818063	 	0.912717	 	 -0.21965	 	0.00735624
1.60326	 	0.587073	 	1.50355	 	 1.92853	 	0.0741086
1.58723	 	0.0873674	 	1.4359	 	 0.754897	 	0.0475479
1.57136	 	1.02147	 	0.858643	 	 0.294841	 	0.0233321
1.55564	 	0.391202	 	1.22444	 	 0.140181	 	0.0262548
1.54009	 	1.00466	 	0.536343	 	 -0.219258	 	0.00362548
1.52469	 	0.0687019	 	1.10048	 	 -0.182015	 	0.012587
1.50944	 	0.00112161	 	0.747112	 	 -0.0225385	 	0.00654762
1.49434	 	0.687713	 	0.445605	 	 -0.0847883	 	0.0098923
1.4794	 	0.232399	 	1.22625	 	 -0.0167079	 	0.0195383
1.46461	 	0.320415	 	1.19408	 	 0.0103926	 	0.0223247
1.44996	 	0.958418	 	1.03065	 	 0.640565	 	0.0396997
1.43546	 	0.670772	 	1.09919	 	 0.208812	 	0.0297886
1.42111	 	0.602309	 	0.724024	 	 -0.33197	 	0.0044253
1.4069	 	1.24193	 	0.530268	 	 0.398758	 	0.00967637
1.39283	 	0.0727854	 	0.806829	 	 -0.131367	 	0.00535011
1.3789	 	1.11661	 	0.659319	 	 0.050891	 	0.0139605
1.36511	 	0.662567	 	1.17251	 	 0.324292	 	0.0321442
1.35146	 	0.422044	 	0.55742	 	 -0.00286004	 	0.0054132
1.33794	 	0.977288	 	1.10945	 	 1.13922	 	0.0517756
1.32456	 	0.63232	 	0.475841	 	 -0.200606	 	0.00623251
1.31132	 	0.87706	 	0.589367	 	 -0.417398	 	0.00345825
1.29821	 	1.09023	 	1.03481	 	 1.34102	 	0.0494897
1.28522	 	0.228172	 	0.808023	 	 -0.152288	 	0.00492106
1.27237	 	1.12828	 	0.504464	 	 0.0680418	 	0.00624306
1.25965	 	0.785585	 	0.954312	 	 -0.0364506	 	0.0160489
1.24705	 	0.522827	 	1.00095	 	 -0.197594	 	0.0107565
1.23458	 	1.41593	 	0.696242	 	 1.87338	 	0.0317279
1.22223	 	1.01205	 	0.675557	 	 -0.202202	 	0.00866526
1.21001	 	0.405821	 	0.979053	 	 -0.248003	 	0.00799178
1.19791	 	0.15536	 	1.43387	 	 0.783865	 	0.0487905
1.18593	 	0.0163748	 	0.70622	 	 0.0615432	 	0.00668826
1.17407	 	0.53896	 	0.908868	 	 -0.248305	 	0.00778331
1.16233	 	0.0624773	 	1.44059	 	 0.711098	 	0.040491
1.15071	 	0.148582	 	0.892257	 	 -0.213875	 	0.00560672
1.1392	 	0.765156	 	1.07464	 	 0.210647	 	0.0250253
1.12781	 	0.426174	 	0.543683	 	 0.00216345	 	0.00571554
1.11653	 	1.42832	 	0.746685	 	 2.27195	 	0.0399332
1.10537	 	0.162039	 	1.01434	 	 -0.234981	 	0.00830919
1.09431	 	0.0565251	 	0.476065	 	 0.843953	 	0.0111043
1.08337	 	0.0562364	 	0.445602	 	 1.02771	 	0.0108286
1.07254	 	1.0734	 	0.796217	 	 0.291735	 	0.0212738
1.06181	 	0.17986	 	1.0604	 	 -0.233279	 	0.00848273
1.05119	 	0.833379	 	0.960436	 	 0.0703474	 	0.0190168
1.04068	 	1.13278	 	0.405896	 	 0.387725	 	0.0120443
1.03027	 	1.35738	 	0.365252	 	 1.26172	 	0.0125502
1.01997	 	0.726247	 	0.67638	 	 -0.409064	 	0.00332303
1.00977	 	0.128167	 	1.45926	 	 0.792937	 	0.0428345
0.999674	 	0.135407	 	1.01687	 	 -0.253281	 	0.00695274
0.989677	 	0.925227	 	1.07768	 	 0.733296	 	0.036281
0.979781	 	0.604368	 	0.920991	 	 -0.251347	 	0.009955
0.969983	 	0.684896	 	0.412236	 	 0.129679	 	0.01281
0.960283	 	0.149508	 	1.18666	 	 -0.0795135	 	0.0217054
0.95068	 	0.178145	 	0.706616	 	 0.0279405	 	0.00619877
0.941173	 	0.191155	 	1.2842	 	 0.150782	 	0.0272295
0.931762	 	0.58392	 	0.591796	 	 -0.281014	 	0.00366928
0.922444	 	0.20138	 	1.26403	 	 0.0925546	 	0.0247528
0.913219	 	0.3353	 	1.11098	 	 -0.115151	 	0.0157958
0.904087	 	0.467912	 	0.634381	 	 -0.158002	 	0.00508912
0.895046	 	0.856254	 	0.947555	 	 0.12653	 	0.0208377
0.886096	 	0.42173	 	0.715493	 	 -0.176929	 	0.00565418
0.877235	 	0.845167	 	0.674055	 	 -0.415811	 	0.0037988
0.868463	 	0.368286	 	1.18014	 	 -0.0128697	 	0.016487
0.859778	 	0.217515	 	1.07089	 	 -0.193617	 	0.00903797
0.85118	 	0.991463	 	0.576233	 	 -0.290989	 	0.00459695
0.842668	 	0.768888	 	0.970479	 	 -0.0372164	 	0.0154675
0.834242	 	0.312792	 	0.519454	 	 0.264783	 	0.00771981
0.825899	 	0.517828	 	0.94885	 	 -0.244398	 	0.00851742
0.81764	 	0.238818	 	1.41326	 	 0.738971	 	0.0468979
0.809464	 	0.572919	 	0.760008	 	 -0.315417	 	0.00430854
0.801369	 	0.251813	 	0.46478	 	 0.574088	 	0.00809566
0.793356	 	0.914551	 	0.807145	 	 -0.16201	 	0.012495
0.785422	 	0.610993	 	0.875529	 	 -0.284502	 	0.0084192
0.777568	 	0.0746606	 	1.08911	 	 -0.21398	 	0.0110164
0.769792	 	0.0598616	 	1.31073	 	 0.199174	 	0.0270539
0.762094	 	0.97412	 	0.501269	 	 -0.180604	 	0.0044798
0.754473	 	0.540773	 	0.934306	 	 -0.234747	 	0.0101386
0.746929	 	0.467439	 	1.0824	 	 -0.133081	 	0.0141026
0.739459	 	0.312328	 	1.16873	 	 -0.0700334	 	0.0182738
0.732065	 	1.0292	 	0.277471	 	 1.86109	 	0.0265182
0.724744	 	0.214908	 	0.834513	 	 -0.175683	 	0.00537854
0.717497	 	0.215052	 	0.90416	 	 -0.224311	 	0.00479449
0.710322	 	0.422157	 	0.91405	 	 -0.269332	 	0.00668446
0.703218	 	0.577455	 	0.739716	 	 -0.313084	 	0.00376493
0.696186	 	0.396306	 	1.32237	 	 0.517832	 	0.0360729
0.689224	 	0.237493	 	1.4454	 	 0.835445	 	0.0484374
0.682332	 	0.789347	 	0.730502	 	 -0.371272	 	0.0060747
0.675509	 	0.404084	 	0.796105	 	 -0.223077	 	0.00534639
0.668754	 	1.20471	 	0.736593	 	 0.687818	 	0.0245011
0.662066	 	0.306318	 	0.644808	 	 0.0300866	 	0.00625673
0.655446	 	0.971835	 	0.483158	 	 -0.132189	 	0.00596583
0.648891	 	0.446018	 	0.651118	 	 -0.148558	 	0.00589943
0.642402	 	0.960693	 	0.655884	 	 -0.321606	 	0.00714776
0.635978	 	0.338112	 	0.837924	 	 -0.229584	 	0.00540179
0.629618	 	0.834017	 	0.355451	 	 0.734533	 	0.0164657
0.623322	 	1.19494	 	0.710867	 	 0.510883	 	0.0195329
0.617089	 	0.2778	 	0.926328	 	 -0.251299	 	0.00651505
0.610918	 	0.518784	 	0.725462	 	 -0.267452	 	0.00432675
0.604809	 	0.0696873	 	0.602969	 	 0.326532	 	0.00813431
0.598761	 	0.0485184	 	1.37821	 	 0.460857	 	0.0406882
0.592773	 	0.111723	 	1.61015	 	 1.81282	 	0.0742049
0.586845	 	0.914941	 	0.400594	 	 0.314559	 	0.0113016
0.580977	 	0.365857	 	0.788348	 	 -0.196394	 	0.00526142
0.575167	 	0.155951	 	1.20992	 	 -0.00207566	 	0.0252939
0.569416	 	0.238198	 	1.28211	 	 0.189041	 	0.0241855
0.563721	 	0.707658	 	0.459384	 	 -0.167988	 	0.00899402
0.558084	 	0.37855	 	0.931832	 	 -0.248988	 	0.00768972
0.552503	 	0.711344	 	0.777482	 	 -0.340502	 	0.00671402
0.546978	 	0.294627	 	1.07815	 	 -0.190433	 	0.014736
0.541509	 	0.288104	 	1.47422	 	 1.11257	 	0.0658561
0.536093	 	1.02598	 	0.483678	 	 -0.0658912	 	0.00603392
0.530732	 	0.138246	 	1.1744	 	 -0.112616	 	0.0177718
0.525425	 	1.06835	 	0.91807	 	 0.67171	 	0.0299187
0.520171	 	0.710938	 	0.742341	 	 -0.376966	 	0.0051915
0.514969	 	0.150448	 	0.983654	 	 -0.252978	 	0.00665497
0.50982	 	1.00321	 	0.724445	 	 -0.123483	 	0.0132213
